# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.56437374E+00  -8.18783629E+00   3.76537449E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.38061991E-01   5.66118544E-01  -7.19434467E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     13  -6.93523599E+00  -6.81203159E+00   1.23204400E-01
     14  -7.03805163E+00  -6.93066601E+00   1.07385617E-01
     15  -7.10298980E+00  -7.01273299E+00   9.02568074E-02
     16  -7.16564589E+00  -7.08747977E+00   7.81661266E-02
     17  -7.23121019E+00  -7.15944614E+00   7.17640510E-02
     18  -7.30290020E+00  -7.22523499E+00   7.76652097E-02
     19  -7.35940476E+00  -7.28819725E+00   7.12075047E-02
     20  -7.39584959E+00  -7.33059703E+00   6.52525588E-02
     21  -7.43868713E+00  -7.37920854E+00   5.94785892E-02
     22  -7.48081132E+00  -7.42087697E+00   5.99343426E-02
     23  -7.51946892E+00  -7.46196455E+00   5.75043654E-02
     24  -7.55270139E+00  -7.49525735E+00   5.74440387E-02
     25  -7.58242441E+00  -7.52497644E+00   5.74479724E-02
     26  -7.60698729E+00  -7.55408291E+00   5.29043795E-02
     27  -7.63651377E+00  -7.57992298E+00   5.65907891E-02
     28  -7.65712500E+00  -7.60281402E+00   5.43109803E-02
     29  -7.67688408E+00  -7.62383407E+00   5.30500109E-02
     30  -7.69717267E+00  -7.64365900E+00   5.35136672E-02
     31  -7.71832348E+00  -7.66426994E+00   5.40535359E-02
     32  -7.73650295E+00  -7.68371310E+00   5.27898556E-02
# k =   0.000000   0.200000   0.200000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.12475322E+00  -7.70619563E+00   4.18557591E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.39917432E-01   4.99519062E-01  -4.03983699E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.33471557E-01  -7.20579659E-01   1.12891899E-01
      2  -1.94240862E+00  -1.32970102E+00   6.12707601E-01
      3  -3.50371971E+00  -2.01219145E+00   1.49152826E+00
      4  -4.98414695E+00  -2.42942184E+00   2.55472511E+00
      5  -5.25210648E+00  -4.28982796E+00   9.62278515E-01
      6  -5.58994355E+00  -4.87995744E+00   7.09986111E-01
      7  -5.88397056E+00  -5.33523392E+00   5.48736630E-01
      8  -6.10303129E+00  -5.62212999E+00   4.80901301E-01
      9  -6.33124014E+00  -5.82133370E+00   5.09906437E-01
     10  -6.49112185E+00  -5.99691626E+00   4.94205593E-01
     11  -6.61969078E+00  -6.18639849E+00   4.33292286E-01
     12  -6.72485404E+00  -6.31662957E+00   4.08224462E-01
     13  -6.82100604E+00  -6.42736340E+00   3.93642648E-01
     14  -6.92259643E+00  -6.52959675E+00   3.92999680E-01
     15  -6.98474601E+00  -6.60658706E+00   3.78158948E-01
     16  -7.04376664E+00  -6.67509626E+00   3.68670375E-01
     17  -7.10782002E+00  -6.74029754E+00   3.67522474E-01
     18  -7.17426414E+00  -6.79593644E+00   3.78327695E-01
     19  -7.22837850E+00  -6.85021934E+00   3.78159161E-01
     20  -7.26392259E+00  -6.89399623E+00   3.69926364E-01
     21  -7.30390155E+00  -6.93253431E+00   3.71367239E-01
     22  -7.34256068E+00  -6.96978798E+00   3.72772702E-01
     23  -7.37979523E+00  -7.00605196E+00   3.73743274E-01
     24  -7.41127589E+00  -7.03877723E+00   3.72498654E-01
     25  -7.43977706E+00  -7.06545569E+00   3.74321370E-01
     26  -7.46330336E+00  -7.09057667E+00   3.72726685E-01
     27  -7.49017558E+00  -7.11293695E+00   3.77238636E-01
     28  -7.50990245E+00  -7.13448206E+00   3.75420395E-01
     29  -7.52898226E+00  -7.15500218E+00   3.73980079E-01
     30  -7.54833598E+00  -7.17374211E+00   3.74593866E-01
     31  -7.56794606E+00  -7.19074279E+00   3.77203262E-01
     32  -7.58483578E+00  -7.20667656E+00   3.78159221E-01
# k =   0.000000   0.200000   0.400000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.04987730E+00  -7.67037010E+00   3.79507198E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.19868186E-01   5.10532273E-01  -9.33591337E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.82189107E-01  -6.86261002E-01   1.95928105E-01
      2  -1.83852924E+00  -1.27810254E+00   5.60426702E-01
      3  -2.99821477E+00  -1.89981485E+00   1.09839992E+00
      4  -5.02051937E+00  -2.35519201E+00   2.66532737E+00
      5  -5.29207102E+00  -4.14056498E+00   1.15150604E+00
      6  -5.61599349E+00  -4.75231607E+00   8.63677419E-01
      7  -5.90425559E+00  -5.20318539E+00   7.01070195E-01
      8  -6.11884862E+00  -5.52150789E+00   5.97340728E-01
