# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.25217795E+00  -8.12153964E+00   1.30638307E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.51090420E-01   5.67850833E-01   1.67604134E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     15  -6.91175739E+00  -6.94911974E+00  -3.73623512E-02
     16  -6.98828162E+00  -7.03393145E+00  -4.56498301E-02
     17  -7.05887716E+00  -7.10228298E+00  -4.34058176E-02
     18  -7.11021741E+00  -7.16750045E+00  -5.72830462E-02
     19  -7.16598232E+00  -7.22298928E+00  -5.70069667E-02
     20  -7.21853523E+00  -7.27663026E+00  -5.80950291E-02
     21  -7.25638653E+00  -7.32088468E+00  -6.44981466E-02
     22  -7.29330932E+00  -7.35858995E+00  -6.52806351E-02
     23  -7.32935648E+00  -7.39824178E+00  -6.88853007E-02
     24  -7.35591898E+00  -7.42860332E+00  -7.26843433E-02
     25  -7.39171305E+00  -7.46141118E+00  -6.96981232E-02
     26  -7.42184101E+00  -7.48720068E+00  -6.53596743E-02
     27  -7.45266906E+00  -7.51441061E+00  -6.17415503E-02
     28  -7.47247022E+00  -7.53870077E+00  -6.62305481E-02
     29  -7.49065819E+00  -7.55768809E+00  -6.70298999E-02
     30  -7.50884317E+00  -7.57885236E+00  -7.00091876E-02
     31  -7.52718128E+00  -7.59609809E+00  -6.89168148E-02
# k =   0.000000   0.250000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.80969882E+00  -7.50211890E+00   3.07579927E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.81579820E-01   4.74670682E-01  -6.90913771E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.66814312E-01  -7.46072345E-01   1.20741968E-01
      2  -1.86378911E+00  -1.36142439E+00   5.02364723E-01
      3  -3.28325966E+00  -2.07872761E+00   1.20453204E+00
      4  -4.93665832E+00  -2.37402213E+00   2.56263619E+00
      5  -5.17319722E+00  -4.27299314E+00   9.00204086E-01
      6  -5.49038247E+00  -4.89880588E+00   5.91576589E-01
      7  -5.75041520E+00  -5.25485612E+00   4.95559085E-01
      8  -5.95961001E+00  -5.55806631E+00   4.01543704E-01
      9  -6.15029540E+00  -5.74573480E+00   4.04560599E-01
     10  -6.31499755E+00  -5.89746191E+00   4.17535635E-01
     11  -6.42535466E+00  -6.08028788E+00   3.45066780E-01
     12  -6.52218843E+00  -6.19487603E+00   3.27312404E-01
     13  -6.62656991E+00  -6.31948974E+00   3.07080174E-01
     14  -6.69803412E+00  -6.41073890E+00   2.87295220E-01
     15  -6.76034513E+00  -6.48047736E+00   2.79867771E-01
     16  -6.83466490E+00  -6.54308548E+00   2.91579422E-01
     17  -6.89688935E+00  -6.60273707E+00   2.94152281E-01
     18  -6.94671524E+00  -6.65289637E+00   2.93818872E-01
     19  -6.99939732E+00  -6.69796310E+00   3.01434224E-01
     20  -7.04394854E+00  -6.74469693E+00   2.99251604E-01
     21  -7.07786109E+00  -6.78284916E+00   2.95011931E-01
     22  -7.11617687E+00  -6.82183108E+00   2.94345786E-01
     23  -7.14810538E+00  -6.85515818E+00   2.92947203E-01
     24  -7.17157134E+00  -6.88186673E+00   2.89704608E-01
     25  -7.20265899E+00  -6.90803473E+00   2.94624255E-01
     26  -7.23044549E+00  -6.93244290E+00   2.98002589E-01
     27  -7.25772438E+00  -6.95499425E+00   3.02730124E-01
     28  -7.27652117E+00  -6.97659064E+00   2.99930525E-01
     29  -7.29376197E+00  -6.99408752E+00   2.99674445E-01
     30  -7.31169334E+00  -7.01106386E+00   3.00629478E-01
     31  -7.32811900E+00  -7.02744821E+00   3.00670790E-01
# k =   0.000000   0.250000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.77379184E+00  -7.41308514E+00   3.60706699E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.69767794E-01   4.64542962E-01  -5.22483172E-03
#    Nb          CH(vbm)          CH(cbm)             diff
