# k =  0.00000000E+00  0.00000000E+00  0.37500000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.40646014E-01 -0.22271754E-01  0.18374260E-01 -0.11092152E+00
       2 -0.76314510E-01 -0.45210138E-01  0.31104372E-01 -0.11092152E+00
       3 -0.11199710E+00 -0.70148536E-01  0.41848569E-01 -0.11092152E+00
       4 -0.14195730E+00 -0.97915645E-01  0.44041660E-01 -0.11092152E+00
       5 -0.17042510E+00 -0.12510871E+00  0.45316385E-01 -0.11092152E+00
       6 -0.20803133E+00 -0.15612232E+00  0.51909007E-01 -0.11092152E+00
       7 -0.23635428E+00 -0.18702678E+00  0.49327494E-01 -0.11092152E+00
       8 -0.26842986E+00 -0.21857041E+00  0.49859449E-01 -0.11092152E+00
       9 -0.29863919E+00 -0.24971860E+00  0.48920586E-01 -0.11092152E+00
      10 -0.33181919E+00 -0.29907679E+00  0.32742404E-01 -0.11092152E+00
      11 -0.36179434E+00 -0.31550519E+00  0.46289149E-01 -0.11092152E+00
      12 -0.38452787E+00 -0.33492825E+00  0.49599616E-01 -0.11092152E+00
      13 -0.40811665E+00 -0.35443908E+00  0.53677570E-01 -0.11092152E+00
      14 -0.42850624E+00 -0.37215501E+00  0.56351231E-01 -0.11092152E+00
      15 -0.45127847E+00 -0.39839989E+00  0.52878579E-01 -0.11092152E+00
      16 -0.51204777E+00 -0.44702406E+00  0.65023713E-01 -0.11092152E+00
      17 -0.55836680E+00 -0.49477157E+00  0.63595226E-01 -0.11092152E+00
      18 -0.61407220E+00 -0.54398954E+00  0.70082655E-01 -0.11092152E+00
      19 -0.66315175E+00 -0.59404003E+00  0.69111712E-01 -0.11092152E+00
      20 -0.70670150E+00 -0.63859571E+00  0.68105789E-01 -0.11092152E+00
      21 -0.73478032E+00 -0.66561315E+00  0.69167169E-01 -0.11092152E+00
      22 -0.75459828E+00 -0.68383853E+00  0.70759746E-01 -0.11092152E+00
      23 -0.80010984E+00 -0.71984694E+00  0.80262895E-01 -0.11092152E+00
      24 -0.83735882E+00 -0.74955058E+00  0.87808248E-01 -0.11092152E+00
      25 -0.88582366E+00 -0.78684961E+00  0.98974042E-01 -0.11092152E+00
      26 -0.95427996E+00 -0.83688401E+00  0.11739595E+00 -0.11092152E+00
      27 -0.10041672E+01 -0.88182506E+00  0.12234213E+00 -0.11092152E+00
      28 -0.10486336E+01 -0.93641374E+00  0.11221988E+00 -0.11092152E+00
      29 -0.11106795E+01 -0.99869352E+00  0.11198594E+00 -0.11092152E+00
      30 -0.11558527E+01 -0.10376480E+01  0.11820478E+00 -0.11092152E+00
      31 -0.14034662E+01 -0.11281606E+01  0.27530555E+00 -0.11092152E+00
      32 -0.16171580E+01 -0.12413954E+01  0.37576259E+00 -0.11092152E+00
      33 -0.18080729E+01 -0.13482171E+01  0.45985577E+00 -0.11092152E+00
      34 -0.19527765E+01 -0.14424593E+01  0.51031713E+00 -0.11092152E+00
      35 -0.20964223E+01 -0.15373204E+01  0.55910192E+00 -0.11092152E+00
      36 -0.23637165E+01 -0.17176480E+01  0.64606849E+00 -0.11092152E+00
      37 -0.25814814E+01 -0.19284057E+01  0.65307568E+00 -0.11092152E+00
      38 -0.29445841E+01 -0.22858909E+01  0.65869329E+00 -0.11092152E+00
      39 -0.32784721E+01 -0.26196759E+01  0.65879612E+00 -0.11092152E+00
      40 -0.45036343E+01 -0.30910557E+01  0.14125786E+01 -0.11092152E+00
      41 -0.48703116E+01 -0.40018673E+01  0.86844437E+00 -0.11092152E+00
      42 -0.51465485E+01 -0.42836844E+01  0.86286410E+00 -0.11092152E+00
      43 -0.54133260E+01 -0.47636622E+01  0.64966379E+00 -0.11092152E+00
      44 -0.55336560E+01 -0.49199030E+01  0.61375296E+00 -0.11092152E+00
      45 -0.56693528E+01 -0.51997542E+01  0.46959857E+00 -0.11092152E+00
      46 -0.57559359E+01 -0.53411961E+01  0.41473979E+00 -0.11092152E+00
      47 -0.58358446E+01 -0.55250375E+01  0.31080713E+00 -0.11092152E+00
      48 -0.58954168E+01 -0.56617908E+01  0.23362601E+00 -0.11092152E+00
      49 -0.59494280E+01 -0.58102483E+01  0.13917963E+00 -0.11092152E+00
      50 -0.60042250E+01 -0.59968995E+01  0.73254845E-02 -0.11092152E+00
      51 -0.60502834E+01 -0.60444217E+01  0.58617023E-02 -0.11092152E+00
      52 -0.60810407E+01 -0.60701390E+01  0.10901698E-01 -0.11092152E+00
      53 -0.61004145E+01 -0.60881904E+01  0.12224123E-01 -0.11092152E+00
      54 -0.61296353E+01 -0.61216648E+01  0.79704938E-02 -0.11092152E+00
      55 -0.61494717E+01 -0.61419035E+01  0.75682461E-02 -0.11092152E+00
      56 -0.61781291E+01 -0.61753802E+01  0.27489310E-02 -0.11092152E+00
      57 -0.62046054E+01 -0.62100011E+01 -0.53957535E-02 -0.11092152E+00
      58 -0.62276239E+01 -0.62384933E+01 -0.10869330E-01 -0.11092152E+00
      59 -0.62443206E+01 -0.62587333E+01 -0.14412783E-01 -0.11092152E+00
      60 -0.62634988E+01 -0.62824584E+01 -0.18959595E-01 -0.11092152E+00
      61 -0.62768235E+01 -0.62930856E+01 -0.16262081E-01 -0.11092152E+00
      62 -0.62922074E+01 -0.63116403E+01 -0.19432933E-01 -0.11092152E+00
      63 -0.63052056E+01 -0.63241336E+01 -0.18928020E-01 -0.11092152E+00
      64 -0.63173550E+01 -0.63353085E+01 -0.17953575E-01 -0.11092152E+00
      65 -0.63280144E+01 -0.63461491E+01 -0.18134614E-01 -0.11092152E+00
      66 -0.63342979E+01 -0.63497293E+01 -0.15431366E-01 -0.11092152E+00
      67 -0.63400074E+01 -0.63544165E+01 -0.14409129E-01 -0.11092152E+00
      68 -0.63469963E+01 -0.63600321E+01 -0.13035778E-01 -0.11092152E+00
      69 -0.63540397E+01 -0.63657631E+01 -0.11723431E-01 -0.11092152E+00
      70 -0.63596174E+01 -0.63700841E+01 -0.10466663E-01 -0.11092152E+00
      71 -0.63717311E+01 -0.63790348E+01 -0.73037400E-02 -0.11092152E+00
      72 -0.63850603E+01 -0.63875216E+01 -0.24612759E-02 -0.11092152E+00
      73 -0.63957176E+01 -0.64020088E+01 -0.62912018E-02 -0.11092152E+00
      74 -0.64085142E+01 -0.64189271E+01 -0.10412861E-01 -0.11092152E+00
      75 -0.64202510E+01 -0.64306789E+01 -0.10427885E-01 -0.11092152E+00
      76 -0.64345236E+01 -0.64404527E+01 -0.59291325E-02 -0.11092152E+00
      77 -0.64445189E+01 -0.64509673E+01 -0.64483834E-02 -0.11092152E+00
      78 -0.64568089E+01 -0.64595437E+01 -0.27347872E-02 -0.11092152E+00
      79 -0.64655641E+01 -0.64665843E+01 -0.10202778E-02 -0.11092152E+00
      80 -0.64726238E+01 -0.64742788E+01 -0.16550184E-02 -0.11092152E+00
