  0.00000000E+00 -0.38123401E+01
  0.10021004E-01 -0.38127189E+01
  0.20042007E-01 -0.38138602E+01
  0.30063011E-01 -0.38157775E+01
  0.40084014E-01 -0.38184935E+01
  0.50105018E-01 -0.38220387E+01
  0.60126021E-01 -0.38264513E+01
  0.70147025E-01 -0.38317761E+01
  0.80168028E-01 -0.38380631E+01
  0.90189032E-01 -0.38453668E+01
  0.10021004E+00 -0.38537446E+01
  0.11023104E+00 -0.38632553E+01
  0.12025204E+00 -0.38739583E+01
  0.13027305E+00 -0.38859116E+01
  0.14029405E+00 -0.38991708E+01
  0.15031505E+00 -0.39137878E+01
  0.16033606E+00 -0.39298094E+01
  0.17035706E+00 -0.39472764E+01
  0.18037806E+00 -0.39662222E+01
  0.19039907E+00 -0.39866723E+01
  0.20042007E+00 -0.40086433E+01
  0.21044107E+00 -0.40321421E+01
  0.22046208E+00 -0.40571658E+01
  0.23048308E+00 -0.40837006E+01
  0.24050408E+00 -0.41117224E+01
  0.25052509E+00 -0.41411962E+01
  0.26054609E+00 -0.41720762E+01
  0.27056710E+00 -0.42043060E+01
  0.28058810E+00 -0.42378192E+01
  0.29060910E+00 -0.42725395E+01
  0.30063011E+00 -0.43083815E+01
  0.31065111E+00 -0.43452516E+01
  0.32067211E+00 -0.43830482E+01
  0.33069312E+00 -0.44216633E+01
  0.34071412E+00 -0.44609831E+01
  0.35073512E+00 -0.45008892E+01
  0.36075613E+00 -0.45412596E+01
  0.37077713E+00 -0.45819700E+01
  0.38079813E+00 -0.46228950E+01
  0.39081914E+00 -0.46639089E+01
  0.40084014E+00 -0.47048877E+01
  0.41086114E+00 -0.47457092E+01
  0.42088215E+00 -0.47862552E+01
  0.43090315E+00 -0.48264117E+01
  0.44092415E+00 -0.48660705E+01
  0.45094516E+00 -0.49051301E+01
  0.46096616E+00 -0.49434962E+01
  0.47098717E+00 -0.49810830E+01
  0.48100817E+00 -0.50178134E+01
  0.49102917E+00 -0.50536202E+01
