# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -6.12051559E+00  -6.23865972E+00  -1.18144130E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.97618350E-01   7.42345810E-01   1.44727460E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     93  -4.75423390E+00  -4.62776483E+00   1.26469069E-01
     94  -4.75659457E+00  -4.63830827E+00   1.18286296E-01
     95  -4.76662351E+00  -4.64126727E+00   1.25356235E-01
     96  -4.76764193E+00  -4.64706865E+00   1.20573284E-01
     97  -4.76866035E+00  -4.65287002E+00   1.15790333E-01
     98  -4.76985037E+00  -4.65818206E+00   1.11668305E-01
     99  -4.77104038E+00  -4.66349411E+00   1.07546276E-01
    100  -4.77722637E+00  -4.68265498E+00   9.45713876E-02
    101  -4.77853888E+00  -4.68321269E+00   9.53261911E-02
    102  -4.79240153E+00  -4.68416782E+00   1.08233713E-01
    103  -4.79943734E+00  -4.71212891E+00   8.73084308E-02
    104  -4.80007606E+00  -4.71483704E+00   8.52390103E-02
    105  -4.81305741E+00  -4.72117383E+00   9.18835794E-02
    106  -4.82603876E+00  -4.72751061E+00   9.85281483E-02
    107  -4.83022154E+00  -4.73020958E+00   1.00011961E-01
    108  -4.83366698E+00  -4.73526128E+00   9.84056956E-02
    109  -4.83711242E+00  -4.74031299E+00   9.67994296E-02
    110  -4.83922159E+00  -4.74866371E+00   9.05578821E-02
    111  -4.83993766E+00  -4.75057423E+00   8.93634390E-02
    112  -4.84065374E+00  -4.75248474E+00   8.81689960E-02
    113  -4.84152600E+00  -4.75510965E+00   8.64163496E-02
    114  -4.84437126E+00  -4.75586859E+00   8.85026744E-02
    115  -4.84532974E+00  -4.75617719E+00   8.91525497E-02
    116  -4.84551951E+00  -4.75646676E+00   8.90527545E-02
    117  -4.84619782E+00  -4.75715034E+00   8.90474818E-02
    118  -4.84687614E+00  -4.75783393E+00   8.90422094E-02
    119  -4.84715799E+00  -4.75841783E+00   8.87401567E-02
    120  -4.84731006E+00  -4.75854862E+00   8.87614444E-02
    121  -4.84746213E+00  -4.75867940E+00   8.87827320E-02
    122  -4.84748027E+00  -4.75873583E+00   8.87444338E-02
    123  -4.84748236E+00  -4.75875000E+00   8.87323631E-02
    124  -4.85748668E+00  -4.76046887E+00   9.70178096E-02
    125  -4.85835708E+00  -4.76754739E+00   9.08096906E-02
    126  -4.85922748E+00  -4.77462591E+00   8.46015717E-02
    127  -4.87152708E+00  -4.77561277E+00   9.59143119E-02
    128  -4.87251159E+00  -4.78111413E+00   9.13974549E-02
    129  -4.87349610E+00  -4.78661550E+00   8.68805979E-02
    130  -4.87442034E+00  -4.78695793E+00   8.74624089E-02
    131  -4.87510132E+00  -4.79009109E+00   8.50102284E-02
    132  -4.88358033E+00  -4.79081848E+00   9.27618501E-02
    133  -4.88736252E+00  -4.80267188E+00   8.46906422E-02
    134  -4.89591788E+00  -4.80773442E+00   8.81834550E-02
    135  -4.90447324E+00  -4.81279697E+00   9.16762678E-02
    136  -4.90608690E+00  -4.81816204E+00   8.79248663E-02
    137  -4.91075272E+00  -4.82105675E+00   8.96959697E-02
    138  -4.91541853E+00  -4.82395145E+00   9.14670739E-02
    139  -4.91580073E+00  -4.82534521E+00   9.04555139E-02
    140  -4.91618293E+00  -4.82673897E+00   8.94439538E-02
    141  -4.91628617E+00  -4.82699604E+00   8.92901303E-02
    142  -4.92639715E+00  -4.82920983E+00   9.71873244E-02
    143  -4.92705376E+00  -4.83139409E+00   9.56596707E-02
    144  -4.92771037E+00  -4.83357835E+00   9.41320169E-02
    145  -4.92781324E+00  -4.83381725E+00   9.39959920E-02
    146  -4.93152810E+00  -4.83427591E+00   9.72521881E-02
    147  -4.93200858E+00  -4.83860876E+00   9.33998271E-02
    148  -4.93248907E+00  -4.84294161E+00   8.95474659E-02
    149  -4.93254468E+00  -4.84322472E+00   8.93199661E-02
    150  -4.93257803E+00  -4.84334624E+00   8.92317906E-02
    151  -4.95319862E+00  -4.84467846E+00   1.08520155E-01
    152  -4.95582290E+00  -4.84906359E+00   1.06759318E-01
    153  -4.95844719E+00  -4.85344871E+00   1.04998482E-01
    154  -4.96162699E+00  -4.85472950E+00   1.06897491E-01
    155  -4.96419462E+00  -4.86475733E+00   9.94372815E-02
    156  -4.97461695E+00  -4.87217010E+00   1.02446846E-01
    157  -4.98503928E+00  -4.87958287E+00   1.05456411E-01
    158  -4.98620762E+00  -4.88471690E+00   1.01490721E-01
    159  -4.98789980E+00  -4.89058550E+00   9.73143024E-02
    160  -4.99267294E+00  -4.89121408E+00   1.01458860E-01
    161  -4.99317068E+00  -4.89349373E+00   9.96769494E-02
    162  -4.99562821E+00  -4.89487814E+00   1.00750071E-01
    163  -4.99808574E+00  -4.89626255E+00   1.01823193E-01
    164  -4.99824181E+00  -4.89678136E+00   1.01460448E-01
    165  -4.99839788E+00  -4.89730017E+00   1.01097704E-01
    166  -4.99878094E+00  -4.89837539E+00   1.00405556E-01
    167  -4.99882005E+00  -4.89849344E+00   1.00326611E-01
    168  -4.99898347E+00  -4.89876572E+00   1.00217753E-01
    169  -4.99914089E+00  -4.89935977E+00   9.97811204E-02
    170  -4.99929830E+00  -4.89995382E+00   9.93444875E-02
    171  -4.99934333E+00  -4.90006989E+00   9.92734361E-02
    172  -5.00828238E+00  -4.90107452E+00   1.07207861E-01
    173  -5.00910262E+00  -4.90479181E+00   1.04310810E-01
    174  -5.00992286E+00  -4.90850910E+00   1.01413759E-01
    175  -5.01983591E+00  -4.90925522E+00   1.10580691E-01
    176  -5.02233467E+00  -4.91231099E+00   1.10023674E-01
    177  -5.02483342E+00  -4.91536676E+00   1.09466657E-01
    178  -5.02753146E+00  -4.91677367E+00   1.10757793E-01
    179  -5.03029021E+00  -4.92868808E+00   1.01602126E-01
    180  -5.04751779E+00  -4.94539853E+00   1.02119266E-01
    181  -5.06474538E+00  -4.96210897E+00   1.02636406E-01
    182  -5.06506197E+00  -4.96314886E+00   1.01913111E-01
    183  -5.07063388E+00  -4.96441228E+00   1.06221599E-01
