# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      23  0.00000000E+00 -0.65409583E+01 -0.65409583E+01 -0.66481252E+01
      24  0.00000000E+00 -0.65465931E+01 -0.65465931E+01 -0.66481252E+01
      25  0.00000000E+00 -0.65520948E+01 -0.65520948E+01 -0.66481252E+01
      26  0.00000000E+00 -0.65569797E+01 -0.65569797E+01 -0.66481252E+01
      27  0.00000000E+00 -0.65615141E+01 -0.65615141E+01 -0.66481252E+01
      28  0.00000000E+00 -0.65649274E+01 -0.65649274E+01 -0.66481252E+01
      29  0.00000000E+00 -0.65683298E+01 -0.65683298E+01 -0.66481252E+01
      30  0.00000000E+00 -0.65709489E+01 -0.65709489E+01 -0.66481252E+01
      31  0.00000000E+00 -0.65737750E+01 -0.65737750E+01 -0.66481252E+01
      32  0.00000000E+00 -0.65761370E+01 -0.65761370E+01 -0.66481252E+01
      33  0.00000000E+00 -0.65785197E+01 -0.65785197E+01 -0.66481252E+01
      34  0.00000000E+00 -0.65808071E+01 -0.65808071E+01 -0.66481252E+01
      35  0.00000000E+00 -0.65828164E+01 -0.65828164E+01 -0.66481252E+01
      36  0.00000000E+00 -0.65847027E+01 -0.65847027E+01 -0.66481252E+01
      37  0.00000000E+00 -0.65866071E+01 -0.65866071E+01 -0.66481252E+01
      38  0.00000000E+00 -0.65884141E+01 -0.65884141E+01 -0.66481252E+01
      39  0.00000000E+00 -0.65897758E+01 -0.65897758E+01 -0.66481252E+01
      40  0.00000000E+00 -0.65910450E+01 -0.65910450E+01 -0.66481252E+01
