# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       8 -0.63819729E+01 -0.60938451E+01  0.28812780E+00  0.11712209E+00
       9 -0.66037253E+01 -0.63397708E+01  0.26395443E+00  0.11712209E+00
      10 -0.68196004E+01 -0.65214870E+01  0.29811338E+00  0.11712209E+00
      11 -0.69445900E+01 -0.67349593E+01  0.20963067E+00  0.11712209E+00
      12 -0.70660096E+01 -0.68602598E+01  0.20574980E+00  0.11712209E+00
      13 -0.71529545E+01 -0.69878789E+01  0.16507557E+00  0.11712209E+00
      14 -0.72475020E+01 -0.71133410E+01  0.13416096E+00  0.11712209E+00
      15 -0.73148852E+01 -0.71991190E+01  0.11576623E+00  0.11712209E+00
      16 -0.73955397E+01 -0.72757048E+01  0.11983493E+00  0.11712209E+00
      17 -0.74547059E+01 -0.73551268E+01  0.99579082E-01  0.11712209E+00
      18 -0.75312902E+01 -0.74244837E+01  0.10680644E+00  0.11712209E+00
      19 -0.75914070E+01 -0.74889853E+01  0.10242165E+00  0.11712209E+00
      20 -0.76368119E+01 -0.75354045E+01  0.10140739E+00  0.11712209E+00
      21 -0.76793387E+01 -0.75866180E+01  0.92720638E-01  0.11712209E+00
      22 -0.77298085E+01 -0.76310128E+01  0.98795775E-01  0.11712209E+00
      23 -0.77733686E+01 -0.76743695E+01  0.98999116E-01  0.11712209E+00
      24 -0.78062755E+01 -0.77099037E+01  0.96371868E-01  0.11712209E+00
      25 -0.78438509E+01 -0.77411713E+01  0.10267967E+00  0.11712209E+00
      26 -0.78687519E+01 -0.77712166E+01  0.97535345E-01  0.11712209E+00
      27 -0.79009489E+01 -0.77987601E+01  0.10218880E+00  0.11712209E+00
      28 -0.79212672E+01 -0.78228891E+01  0.98378137E-01  0.11712209E+00
      29 -0.79412764E+01 -0.78458220E+01  0.95454458E-01  0.11712209E+00
      30 -0.79644937E+01 -0.78663587E+01  0.98134989E-01  0.11712209E+00
      31 -0.79875128E+01 -0.78885103E+01  0.99002469E-01  0.11712209E+00
      32 -0.80068764E+01 -0.79093906E+01  0.97485799E-01  0.11712209E+00
# k =  0.00000000E+00  0.20000000E+00  0.20000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.83957567E+00 -0.72173090E+00  0.11784477E+00  0.48566228E+00
       2 -0.20033802E+01 -0.13336702E+01  0.66971000E+00  0.48566228E+00
       3 -0.31925043E+01 -0.20508758E+01  0.11416285E+01  0.48566228E+00
       4 -0.50137130E+01 -0.24733021E+01  0.25404109E+01  0.48566228E+00
       5 -0.53470512E+01 -0.43346097E+01  0.10124415E+01  0.48566228E+00
       6 -0.57323414E+01 -0.48634959E+01  0.86884549E+00  0.48566228E+00
       7 -0.60028984E+01 -0.54509471E+01  0.55195136E+00  0.48566228E+00
       8 -0.62638676E+01 -0.57428568E+01  0.52101080E+00  0.48566228E+00
       9 -0.64849244E+01 -0.59469840E+01  0.53794041E+00  0.48566228E+00
      10 -0.66758658E+01 -0.61337598E+01  0.54210596E+00  0.48566228E+00
      11 -0.67982426E+01 -0.63294316E+01  0.46881106E+00  0.48566228E+00
      12 -0.69100928E+01 -0.64597122E+01  0.45038058E+00  0.48566228E+00
      13 -0.70039638E+01 -0.65828444E+01  0.42111946E+00  0.48566228E+00
      14 -0.71201993E+01 -0.66897810E+01  0.43041831E+00  0.48566228E+00
      15 -0.71897333E+01 -0.67713100E+01  0.41842329E+00  0.48566228E+00
      16 -0.72515676E+01 -0.68425677E+01  0.40899989E+00  0.48566228E+00
      17 -0.73137330E+01 -0.69133362E+01  0.40039680E+00  0.48566228E+00
      18 -0.73798150E+01 -0.69718837E+01  0.40793129E+00  0.48566228E+00
      19 -0.74330557E+01 -0.70274933E+01  0.40556238E+00  0.48566228E+00
      20 -0.74755007E+01 -0.70753284E+01  0.40017231E+00  0.48566228E+00
      21 -0.75156355E+01 -0.71171243E+01  0.39851129E+00  0.48566228E+00
      22 -0.75610871E+01 -0.71560033E+01  0.40508377E+00  0.48566228E+00
      23 -0.75987507E+01 -0.71951144E+01  0.40363631E+00  0.48566228E+00
      24 -0.76299216E+01 -0.72304593E+01  0.39946228E+00  0.48566228E+00
      25 -0.76604751E+01 -0.72592321E+01  0.40124293E+00  0.48566228E+00
      26 -0.76876138E+01 -0.72852885E+01  0.40232527E+00  0.48566228E+00
      27 -0.77154510E+01 -0.73093071E+01  0.40614388E+00  0.48566228E+00
      28 -0.77381204E+01 -0.73328543E+01  0.40526608E+00  0.48566228E+00
      29 -0.77613747E+01 -0.73549535E+01  0.40642121E+00  0.48566228E+00
      30 -0.77838270E+01 -0.73745204E+01  0.40930663E+00  0.48566228E+00
      31 -0.78053479E+01 -0.73927431E+01  0.41260486E+00  0.48566228E+00
      32 -0.78234011E+01 -0.74095511E+01  0.41385006E+00  0.48566228E+00
# k =  0.00000000E+00  0.20000000E+00  0.40000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.89497591E+00 -0.67923557E+00  0.21574034E+00  0.42549386E+00
       2 -0.18668755E+01 -0.12790264E+01  0.58784909E+00  0.42549386E+00
       3 -0.29832653E+01 -0.19270165E+01  0.10562488E+01  0.42549386E+00
       4 -0.50964143E+01 -0.23955533E+01  0.27008610E+01  0.42549386E+00
       5 -0.53870459E+01 -0.42034271E+01  0.11836188E+01  0.42549386E+00
       6 -0.57263159E+01 -0.48266372E+01  0.89967875E+00  0.42549386E+00
       7 -0.60409596E+01 -0.53006337E+01  0.74032589E+00  0.42549386E+00
       8 -0.62668516E+01 -0.56371413E+01  0.62971028E+00  0.42549386E+00
       9 -0.64765200E+01 -0.58672753E+01  0.60924470E+00  0.42549386E+00
      10 -0.66569608E+01 -0.60782833E+01  0.57867747E+00  0.42549386E+00
      11 -0.67778117E+01 -0.62587974E+01  0.51901431E+00  0.42549386E+00
      12 -0.68900460E+01 -0.63910057E+01  0.49904031E+00  0.42549386E+00
      13 -0.69881229E+01 -0.65134382E+01  0.47468469E+00  0.42549386E+00
      14 -0.70866717E+01 -0.66205462E+01  0.46612553E+00  0.42549386E+00
      15 -0.71535312E+01 -0.67113541E+01  0.44217709E+00  0.42549386E+00
      16 -0.72176664E+01 -0.67878057E+01  0.42986064E+00  0.42549386E+00
      17 -0.72816328E+01 -0.68544262E+01  0.42720663E+00  0.42549386E+00
      18 -0.73491179E+01 -0.69144667E+01  0.43465120E+00  0.42549386E+00
      19 -0.74035815E+01 -0.69701102E+01  0.43347125E+00  0.42549386E+00
      20 -0.74434942E+01 -0.70205243E+01  0.42296986E+00  0.42549386E+00
      21 -0.74841027E+01 -0.70644649E+01  0.41963786E+00  0.42549386E+00
      22 -0.75243407E+01 -0.71045848E+01  0.41975595E+00  0.42549386E+00
      23 -0.75612086E+01 -0.71418326E+01  0.41937599E+00  0.42549386E+00
      24 -0.75920420E+01 -0.71760702E+01  0.41597184E+00  0.42549386E+00
      25 -0.76218628E+01 -0.72056069E+01  0.41625586E+00  0.42549386E+00
      26 -0.76464409E+01 -0.72322136E+01  0.41422733E+00  0.42549386E+00
      27 -0.76739268E+01 -0.72580805E+01  0.41584634E+00  0.42549386E+00
      28 -0.76950976E+01 -0.72820110E+01  0.41308659E+00  0.42549386E+00
      29 -0.77150276E+01 -0.73032222E+01  0.41180539E+00  0.42549386E+00
      30 -0.77351074E+01 -0.73229051E+01  0.41220236E+00  0.42549386E+00
      31 -0.77553503E+01 -0.73418118E+01  0.41353845E+00  0.42549386E+00
      32 -0.77725033E+01 -0.73594146E+01  0.41308869E+00  0.42549386E+00
# k =  0.00000000E+00  0.20000000E+00  0.60000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.87709713E+00 -0.69895931E+00  0.17813782E+00  0.45615831E+00
       2 -0.17932761E+01 -0.13005763E+01  0.49269986E+00  0.45615831E+00
       3 -0.28196693E+01 -0.19263104E+01  0.89335894E+00  0.45615831E+00
       4 -0.51251405E+01 -0.23765873E+01  0.27485532E+01  0.45615831E+00
       5 -0.53984064E+01 -0.41777558E+01  0.12206506E+01  0.45615831E+00
       6 -0.57151524E+01 -0.47465608E+01  0.96859163E+00  0.45615831E+00
       7 -0.60578586E+01 -0.52999503E+01  0.75790831E+00  0.45615831E+00
       8 -0.63080842E+01 -0.56558677E+01  0.65221650E+00  0.45615831E+00
       9 -0.65193905E+01 -0.58928790E+01  0.62651150E+00  0.45615831E+00
      10 -0.67032415E+01 -0.61100423E+01  0.59319913E+00  0.45615831E+00
      11 -0.68228315E+01 -0.62871138E+01  0.53571778E+00  0.45615831E+00
      12 -0.69377862E+01 -0.64222951E+01  0.51549108E+00  0.45615831E+00
      13 -0.70387451E+01 -0.65492536E+01  0.48949151E+00  0.45615831E+00
      14 -0.71385304E+01 -0.66561675E+01  0.48236295E+00  0.45615831E+00
