# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1    -0.53762    -0.15798     0.21554   -2.611290327   -3.222540818   -0.611250491
     1       1    -0.47639    -0.09675     0.15431   -3.081540322   -3.674707715   -0.593167393
     1       1    -0.41516    -0.03551     0.09307   -3.833073832   -4.414657101   -0.581583269
     1       1    -0.35392     0.02572     0.03184   -4.437650139   -4.985740725   -0.548090587
     1       1    -0.29269     0.08695    -0.02939   -4.814622669   -5.347017755   -0.532395086
     1       1    -0.23146     0.14818    -0.09062   -4.942086347   -5.470303644   -0.528217297
     1       1    -0.10899     0.14818    -0.09062   -5.410508945   -5.916469283   -0.505960338
     1       1    -0.04776     0.20942    -0.15186   -5.102625294   -5.633518148   -0.530892854
     1       1     0.01347     0.27065    -0.21309   -4.555396276   -5.102117283   -0.546721007
     1       1     0.07470     0.33188    -0.27432   -3.828091352   -4.410597519   -0.582506167
     1       1     0.13594     0.39311    -0.33555   -3.185650120   -3.788442203   -0.602792083
     1       1    -0.41516    -0.15798     0.21554   -3.386372482   -3.972838749   -0.586466267
     1       1    -0.35392    -0.09675     0.15431   -4.128399488   -4.699578136   -0.571178647
     1       1    -0.29269    -0.03551     0.09307   -4.798549831   -5.336216146   -0.537666315
     1       1    -0.23146     0.02572     0.03184   -5.255124938   -5.772225613   -0.517100675
     1       1    -0.17023     0.08695    -0.02939   -5.462193509   -5.972165340   -0.509971830
     1       1    -0.04776     0.08695    -0.02939   -5.771108232   -6.243231644   -0.472123412
     1       1     0.01347     0.14818    -0.09062   -5.543501133   -6.050475682   -0.506974549
     1       1     0.07470     0.20942    -0.15186   -5.066942228   -5.584699336   -0.517757108
     1       1     0.13594     0.27065    -0.21309   -4.381656859   -4.946851446   -0.565194588
     1       1     0.19717     0.33188    -0.27432   -3.652054924   -4.233207140   -0.581152216
     1       1    -0.35392    -0.21921     0.27677   -3.523016977   -4.108862445   -0.585845469
     1       1    -0.29269    -0.15798     0.21554   -4.187289723   -4.759000162   -0.571710439
     1       1    -0.23146    -0.09675     0.15431   -4.909731177   -5.437953604   -0.528222427
     1       1    -0.17023    -0.03551     0.09307   -5.445159401   -5.954151943   -0.508992541
     1       1    -0.10899     0.02572     0.03184   -5.737792297   -6.217300119   -0.479507822
     1       1    -0.04776     0.08695     0.09307   -5.680770411   -6.180847557   -0.500077146
     1       1     0.01347     0.14818     0.03184   -5.626113219   -6.133732293   -0.507619074
     1       1     0.07470     0.20942    -0.02939   -5.313534704   -5.829546123   -0.516011419
     1       1     0.13594     0.27065    -0.09062   -4.760546287   -5.320888141   -0.560341854
     1       1     0.19717     0.33188    -0.15186   -4.029161838   -4.600957677   -0.571795839
     1       1     0.25840     0.39311    -0.21309   -3.395929414   -3.996577746   -0.600648332
     1       1    -0.29269    -0.15798     0.33800   -3.607344803   -4.206200431   -0.598855628
     1       1    -0.23146    -0.09675     0.27677   -4.348565339   -4.900129059   -0.551563720
     1       1    -0.17023    -0.03551     0.21554   -5.018749121   -5.560008808   -0.541259688
     1       1    -0.10899     0.02572     0.15431   -5.474698782   -5.980934604   -0.506235823
     1       1     0.01347     0.02572     0.15431   -5.608635139   -6.118042475   -0.509407336
     1       1     0.07470     0.08695     0.09307   -5.642695938   -6.144065461   -0.501369522
     1       1     0.13594     0.14818     0.03184   -5.416730563   -5.922975869   -0.506245307
     1       1     0.19717     0.20942    -0.02939   -4.942441104   -5.485079140   -0.542638036
     1       1     0.25840     0.27065    -0.09062   -4.259280207   -4.809898958   -0.550618751
     1       1     0.31963     0.33188    -0.15186   -3.528215186   -4.128147278   -0.599932092
     1       1    -0.23146    -0.21921     0.39924   -3.393853963   -3.995500686   -0.601646723
     1       1    -0.17023    -0.15798     0.33800   -4.058941218   -4.630423671   -0.571482453
     1       1    -0.10899    -0.09675     0.27677   -4.780927523   -5.343277092   -0.562349569
     1       1    -0.04776    -0.03551     0.21554   -5.316174405   -5.832256334   -0.516081929
     1       1     0.07470    -0.03551     0.21554   -5.279196610   -5.795205743   -0.516009133
     1       1     0.13594     0.02572     0.15431   -5.399492080   -5.906611911   -0.507119831
     1       1     0.19717     0.08695     0.09307   -5.261340336   -5.769160856   -0.507820521
     1       1     0.25840     0.14818     0.03184   -4.870714284   -5.413384069   -0.542669785
     1       1     0.31963     0.20942    -0.02939   -4.253329701   -4.803517847   -0.550188146
     1       1     0.38087     0.27065    -0.09062   -3.502050899   -4.101192114   -0.599141216
     1       1    -0.17023    -0.28044     0.46047   -3.057677053   -3.661491741   -0.603814688
     1       1    -0.10899    -0.21921     0.39924   -3.550860881   -4.128813023   -0.577952142
     1       1    -0.04776    -0.15798     0.33800   -4.301142348   -4.869425535   -0.568283187
     1       1     0.01347    -0.09675     0.27677   -4.905274823   -5.428660760   -0.523385937
     1       1     0.13594    -0.09675     0.27677   -4.711405731   -5.274003268   -0.562597537
     1       1     0.19717    -0.03551     0.21554   -4.909396962   -5.452045983   -0.542649021
     1       1     0.25840     0.02572     0.15431   -4.854312057   -5.397220472   -0.542908415
     1       1     0.31963     0.08695     0.09307   -4.547834586   -5.114031947   -0.566197361
     1       1     0.38087     0.14818     0.03184   -4.006928506   -4.578615759   -0.571687253
     1       1     0.44210     0.20942    -0.02939   -3.284413560   -3.896880982   -0.612467423
     1       1     0.50333     0.27065    -0.09062   -2.634745727   -3.250550080   -0.615804352
     1       1    -0.04776    -0.28044     0.46047   -2.873638757   -3.489720422   -0.616081665
     1       1     0.01347    -0.21921     0.39924   -3.617818150   -4.224761729   -0.606943579
     1       1     0.07470    -0.15798     0.33800   -4.270355247   -4.839317275   -0.568962028
     1       1     0.19717    -0.15798     0.33800   -3.973310091   -4.545139331   -0.571829239
     1       1     0.25840    -0.09675     0.27677   -4.215345814   -4.767899773   -0.552553959
     1       1     0.31963    -0.03551     0.21554   -4.223450099   -4.773640421   -0.550190322
     1       1     0.38087     0.02572     0.15431   -3.992113185   -4.564737223   -0.572624038
     1       1     0.44210     0.08695     0.09307   -3.529199580   -4.105560651   -0.576361071
     1       1     0.50333     0.14818     0.03184   -2.865862204   -3.481633327   -0.615771123
     1       1     0.56456     0.20942    -0.02939   -2.123512714   -2.743046295   -0.619533581
     1       1     0.01347    -0.34168     0.52170   -2.194786481   -2.812183511   -0.617397030
     1       1     0.07470    -0.28044     0.46047   -2.891159473   -3.506742241   -0.615582768
     1       1     0.13594    -0.21921     0.39924   -3.517331446   -4.095278666   -0.577947220
     1       1     0.25840    -0.21921     0.39924   -3.371695384   -3.972905489   -0.601210106
     1       1     0.31963    -0.15798     0.33800   -3.496267725   -4.096150283   -0.599882558
     1       1     0.38087    -0.09675     0.27677   -3.471612928   -4.071185756   -0.599572829
     1       1     0.44210    -0.03551     0.21554   -3.261725564   -3.874270588   -0.612545024
     1       1     0.50333     0.02572     0.15431   -2.854082981   -3.469821349   -0.615738368
     1       1     0.56456     0.08695     0.09307   -2.265601535   -2.896196071   -0.630594536
     1       1    -0.59885     0.14818     0.03184   -1.849809441   -2.482545448   -0.632736007
     1       1    -0.53762     0.20942    -0.02939   -2.386640765   -3.005581258   -0.618940494
     1       1    -0.47639     0.27065    -0.09062   -2.819563752   -3.435480864   -0.615917112
     1       1    -0.41516     0.33188    -0.15186   -3.140994927   -3.744248814   -0.603253887
     1       1    -0.29269     0.33188    -0.15186   -3.646892248   -4.245828514   -0.598936266
     1       1    -0.23146     0.39311    -0.21309   -3.430069341   -4.030496103   -0.600426762
     1       1    -0.17023     0.45434    -0.27432   -3.081123840   -3.685247081   -0.604123242
     1       1     0.50333    -0.09675     0.27677   -2.642672500   -3.257906025   -0.615233525
     1       1     0.56456    -0.03551     0.21554   -2.121385988   -2.741068975   -0.619682987
     1       1    -0.59885     0.02572     0.15431   -1.837479380   -2.469648123   -0.632168743
     1       1    -0.53762     0.08695     0.09307   -2.557778822   -3.186688012   -0.628909191
