# neig  =    24000
# vol   =  0.270106146E+06
# nspin =        1
#   ik    ic    iv    is        eig (eV)   abs(dipole)^2          dipole
     1     1     1     1  0.33572822E+01  0.46138940E+01 -0.21479977E+01
     1     1     2     1  0.34066936E+01  0.30753496E+01 -0.17536675E+01
     1     1     3     1  0.35679345E+01  0.53996648E+01  0.23237179E+01
     1     1     4     1  0.15236926E+02  0.29195041E-01 -0.17086556E+00
     1     2     1     1  0.33945817E+01  0.87781831E+01  0.29627999E+01
     1     2     2     1  0.34439930E+01  0.88863602E+01  0.29809999E+01
     1     2     3     1  0.36052339E+01  0.67227947E+00  0.81992650E+00
     1     2     4     1  0.15274225E+02  0.23775850E-01  0.15419420E+00
     1     3     1     1  0.34266702E+01  0.16698203E+02  0.40863435E+01
     1     3     2     1  0.34760815E+01  0.17766990E+00 -0.42150908E+00
     1     3     3     1  0.36373224E+01  0.42843297E-01 -0.20698622E+00
     1     3     4     1  0.15306314E+02  0.16800616E-01  0.12961719E+00
     1     4     1     1  0.41795344E+01  0.10493927E+02 -0.32394331E+01
     1     4     2     1  0.42289457E+01  0.32055169E+01 -0.17903957E+01
     1     4     3     1  0.43901866E+01  0.78004214E+00  0.88319994E+00
     1     4     4     1  0.16059178E+02  0.26072635E-03  0.16147023E-01
     1     5     1     1  0.87996783E+01  0.26533283E-01  0.16289040E+00
     1     5     2     1  0.88490897E+01  0.62270674E-01  0.24954093E+00
     1     5     3     1  0.90103306E+01  0.11668868E+01  0.10802253E+01
     1     5     4     1  0.20679322E+02  0.47954384E-06 -0.69249104E-03
     1     6     1     1  0.88926604E+01  0.33386580E+00 -0.57781121E+00
     1     6     2     1  0.89420718E+01  0.98962080E+00  0.99479687E+00
     1     6     3     1  0.91033127E+01  0.16866414E-01 -0.12987076E+00
     1     6     4     1  0.20772304E+02  0.28449861E-06  0.53338411E-03
     2     1     1     1  0.35112329E+01  0.11331411E+01  0.10644910E+01
     2     1     2     1  0.38984971E+01  0.46582815E+00 -0.68251605E+00
     2     1     3     1  0.46938110E+01  0.16364110E+01 -0.12792228E+01
     2     1     4     1  0.15178705E+02  0.42256136E-01  0.20556297E+00
     2     2     1     1  0.36611956E+01  0.33841840E+01  0.18396152E+01
     2     2     2     1  0.40484598E+01  0.21969958E-01 -0.14822266E+00
     2     2     3     1  0.48437737E+01  0.14965863E+00  0.38685738E+00
     2     2     4     1  0.15328668E+02  0.92383049E-02 -0.96116101E-01
     2     3     1     1  0.38816990E+01  0.11578157E+00  0.34026691E+00
     2     3     2     1  0.42689631E+01  0.21674363E+01  0.14722216E+01
     2     3     3     1  0.50642770E+01  0.29767056E+00  0.54559193E+00
     2     3     4     1  0.15549171E+02  0.10879176E-03 -0.10430329E-01
     2     4     1     1  0.52171762E+01  0.16322729E-01  0.12776044E+00
     2     4     2     1  0.56044404E+01  0.34902268E+00 -0.59078141E+00
     2     4     3     1  0.63997543E+01  0.33162985E+01 -0.18210707E+01
     2     4     4     1  0.16884648E+02  0.33153247E-02  0.57578856E-01
     2     5     1     1  0.82673306E+01  0.14987013E+01 -0.12242146E+01
     2     5     2     1  0.86545948E+01  0.17181177E-01  0.13107699E+00
     2     5     3     1  0.94499087E+01  0.44281083E-02 -0.66544033E-01
     2     5     4     1  0.19934803E+02  0.19892817E-05  0.14104190E-02
     2     6     1     1  0.87381463E+01  0.20832382E-01  0.14433427E+00
     2     6     2     1  0.91254105E+01  0.82357449E+00  0.90751005E+00
     2     6     3     1  0.99207244E+01  0.37001656E-01 -0.19235815E+00
     2     6     4     1  0.20405618E+02  0.20635421E-04  0.45426227E-02
     3     1     1     1  0.35093551E+01  0.36308395E-02  0.60256447E-01
     3     1     2     1  0.39807649E+01  0.23599208E-01  0.15362034E+00
     3     1     3     1  0.62052295E+01  0.37021337E+00  0.60845162E+00
     3     1     4     1  0.14453743E+02  0.50703085E-01 -0.22517346E+00
     3     2     1     1  0.44603118E+01  0.42263935E+00 -0.65010718E+00
     3     2     2     1  0.49317216E+01  0.70960591E-02 -0.84238109E-01
     3     2     3     1  0.71561862E+01  0.17685693E-02 -0.42054361E-01
     3     2     4     1  0.15404700E+02  0.29080633E-04 -0.53926462E-02
     3     3     1     1  0.47852095E+01  0.50640484E-02 -0.71162128E-01
     3     3     2     1  0.52566192E+01  0.96662806E-01  0.31090643E+00
     3     3     3     1  0.74810839E+01  0.25958991E-01  0.16111794E+00
     3     3     4     1  0.15729597E+02  0.79165524E-04 -0.88975010E-02
     3     4     1     1  0.71208250E+01  0.53875045E-01  0.23210998E+00
     3     4     2     1  0.75922348E+01  0.20962658E+00  0.45784996E+00
     3     4     3     1  0.98166994E+01  0.56148894E+00  0.74932566E+00
     3     4     4     1  0.18065213E+02  0.23732521E-02 -0.48716036E-01
     3     5     1     1  0.82332237E+01  0.12961534E+01 -0.11384873E+01
     3     5     2     1  0.87046335E+01  0.17074427E-06 -0.41321214E-03
     3     5     3     1  0.10929098E+02  0.11624538E-01  0.10781715E+00
     3     5     4     1  0.19177612E+02  0.53336979E-04 -0.73032170E-02
     3     6     1     1  0.89811378E+01  0.23987028E-02  0.48976554E-01
     3     6     2     1  0.94525476E+01  0.50853540E+00 -0.71311668E+00
     3     6     3     1  0.11677012E+02  0.39177419E-01  0.19793287E+00
     3     6     4     1  0.19925526E+02  0.24770573E-03 -0.15738670E-01
     4     1     1     1  0.35418567E+01  0.32826227E-04 -0.57294177E-02
     4     1     2     1  0.39569931E+01  0.11769281E-01  0.10848632E+00
     4     1     3     1  0.76596204E+01  0.14719718E+00  0.38366285E+00
