# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.87581661E+00 -0.86089922E+00  0.14917384E-01  0.24488182E+00
       2 -0.18273878E+01 -0.17384805E+01  0.88907330E-01  0.24488182E+00
       3 -0.29735120E+01 -0.23522654E+01  0.62124667E+00  0.24488182E+00
       4 -0.51444354E+01 -0.25951924E+01  0.25492430E+01  0.24488182E+00
       5 -0.53260746E+01 -0.44571106E+01  0.86896402E+00  0.24488182E+00
       6 -0.55937611E+01 -0.48958769E+01  0.69788427E+00  0.24488182E+00
       7 -0.59217147E+01 -0.54080378E+01  0.51367682E+00  0.24488182E+00
       8 -0.61493071E+01 -0.57077401E+01  0.44156701E+00  0.24488182E+00
       9 -0.63661066E+01 -0.58736732E+01  0.49243337E+00  0.24488182E+00
      10 -0.65397138E+01 -0.60873035E+01  0.45241034E+00  0.24488182E+00
      11 -0.66398054E+01 -0.62655088E+01  0.37429667E+00  0.24488182E+00
      12 -0.67360453E+01 -0.63695571E+01  0.36648818E+00  0.24488182E+00
      13 -0.68206787E+01 -0.64724931E+01  0.34818564E+00  0.24488182E+00
      14 -0.68912504E+01 -0.65889615E+01  0.30228885E+00  0.24488182E+00
      15 -0.69628077E+01 -0.66672338E+01  0.29557384E+00  0.24488182E+00
      16 -0.70279273E+01 -0.67252773E+01  0.30264994E+00  0.24488182E+00
      17 -0.70958894E+01 -0.67819973E+01  0.31389210E+00  0.24488182E+00
      18 -0.71431386E+01 -0.68409271E+01  0.30221151E+00  0.24488182E+00
      19 -0.71886128E+01 -0.68931057E+01  0.29550711E+00  0.24488182E+00
      20 -0.72362434E+01 -0.69461915E+01  0.29005187E+00  0.24488182E+00
      21 -0.72771535E+01 -0.69824102E+01  0.29474329E+00  0.24488182E+00
      22 -0.73174685E+01 -0.70222162E+01  0.29525230E+00  0.24488182E+00
      23 -0.73478908E+01 -0.70526890E+01  0.29520185E+00  0.24488182E+00
      24 -0.73790993E+01 -0.70870267E+01  0.29207266E+00  0.24488182E+00
      25 -0.74078147E+01 -0.71136869E+01  0.29412775E+00  0.24488182E+00
      26 -0.74429971E+01 -0.71483572E+01  0.29463994E+00  0.24488182E+00
      27 -0.74694324E+01 -0.71763158E+01  0.29311655E+00  0.24488182E+00
      28 -0.74889798E+01 -0.71968731E+01  0.29210671E+00  0.24488182E+00
      29 -0.75079255E+01 -0.72155154E+01  0.29241016E+00  0.24488182E+00
      30 -0.75231206E+01 -0.72336333E+01  0.28948736E+00  0.24488182E+00
      31 -0.75380951E+01 -0.72505585E+01  0.28753656E+00  0.24488182E+00
# k =  0.00000000E+00  0.20000000E+00  0.20000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.80428050E+00 -0.70323386E+00  0.10104664E+00  0.30951439E+00
       2 -0.19867896E+01 -0.12653594E+01  0.72143019E+00  0.30951439E+00
       3 -0.27553516E+01 -0.19973636E+01  0.75798798E+00  0.30951439E+00
       4 -0.49327455E+01 -0.23518479E+01  0.25808976E+01  0.30951439E+00
       5 -0.52221426E+01 -0.41529715E+01  0.10691711E+01  0.30951439E+00
       6 -0.55151192E+01 -0.47797568E+01  0.73536234E+00  0.30951439E+00
       7 -0.58026098E+01 -0.52136842E+01  0.58892560E+00  0.30951439E+00
       8 -0.60147213E+01 -0.54725560E+01  0.54216527E+00  0.30951439E+00
       9 -0.62369752E+01 -0.56650214E+01  0.57195379E+00  0.30951439E+00
      10 -0.64015924E+01 -0.58444373E+01  0.55715512E+00  0.30951439E+00
      11 -0.65062497E+01 -0.60224346E+01  0.48381502E+00  0.30951439E+00
      12 -0.66040465E+01 -0.61386831E+01  0.46536346E+00  0.30951439E+00
      13 -0.66931769E+01 -0.62467582E+01  0.44641873E+00  0.30951439E+00
      14 -0.67626617E+01 -0.63468414E+01  0.41582023E+00  0.30951439E+00
      15 -0.68186768E+01 -0.64150914E+01  0.40358533E+00  0.30951439E+00
      16 -0.68788070E+01 -0.64836293E+01  0.39517768E+00  0.30951439E+00
      17 -0.69408816E+01 -0.65438476E+01  0.39703406E+00  0.30951439E+00
      18 -0.69942580E+01 -0.65996742E+01  0.39458375E+00  0.30951439E+00
