# neig  =     3072
# vol   =  0.138294347E+06
# nspin, nkpt, ncb, nvb =        1     512       2       3
#   ik    ic    iv    is         ec (eV)         ev (eV)        eig (eV)   abs(dipole)^2          dipole
     9     1     1     1  0.58287249E+01  0.43836684E+00  0.53903580E+01  0.17016499E+02  0.41251059E+01
     9     1     2     1  0.58287249E+01 -0.37912367E-01  0.58666372E+01  0.44204672E+01 -0.21024907E+01
     9     1     3     1  0.58287249E+01 -0.10170518E+01  0.68457766E+01  0.11609973E+00 -0.34073411E+00
     9     2     1     1  0.62605250E+01  0.43836684E+00  0.58221581E+01  0.57541873E-01 -0.23987887E+00
     9     2     2     1  0.62605250E+01 -0.37912367E-01  0.62984373E+01  0.27603323E+01 -0.16614248E+01
     9     2     3     1  0.62605250E+01 -0.10170518E+01  0.72775768E+01  0.21122196E-01  0.14533477E+00
    10     1     1     1  0.55858117E+01  0.26887999E-01  0.55589237E+01  0.10273782E+01 -0.10135967E+01
    10     1     2     1  0.55858117E+01 -0.75273658E-01  0.56610854E+01  0.10527471E+02  0.32446065E+01
    10     1     3     1  0.55858117E+01 -0.12189000E+01  0.68047117E+01  0.79574420E-02  0.89204495E-01
    10     2     1     1  0.68671410E+01  0.26887999E-01  0.68402530E+01  0.21310326E+01  0.14598057E+01
    10     2     2     1  0.68671410E+01 -0.75273658E-01  0.69424146E+01  0.73464898E+00 -0.85711667E+00
    10     2     3     1  0.68671410E+01 -0.12189000E+01  0.80860410E+01  0.80410290E-03 -0.28356708E-01
    11     1     1     1  0.56530802E+01 -0.30850647E+00  0.59615867E+01  0.15498362E+01  0.12449242E+01
    11     1     2     1  0.56530802E+01 -0.88278122E+00  0.65358614E+01  0.85555960E+00 -0.92496465E+00
    11     1     3     1  0.56530802E+01 -0.27914871E+01  0.84445673E+01  0.25234439E+00  0.50233892E+00
    11     2     1     1  0.72175915E+01 -0.30850647E+00  0.75260980E+01  0.68603871E+00 -0.82827454E+00
    11     2     2     1  0.72175915E+01 -0.88278122E+00  0.81003727E+01  0.21790332E+00  0.46680116E+00
    11     2     3     1  0.72175915E+01 -0.27914871E+01  0.10009079E+02  0.63259941E-02  0.79536118E-01
    12     1     1     1  0.58995417E+01 -0.56817583E+00  0.64677176E+01  0.17201233E-01  0.13115347E+00
    12     1     2     1  0.58995417E+01 -0.13296165E+01  0.72291583E+01  0.68131164E-03  0.26101947E-01
    12     1     3     1  0.58995417E+01 -0.45598534E+01  0.10459395E+02  0.63272593E-01 -0.25154044E+00
    12     2     1     1  0.70362656E+01 -0.56817583E+00  0.76044414E+01  0.17713746E-02  0.42087701E-01
    12     2     2     1  0.70362656E+01 -0.13296165E+01  0.83658821E+01  0.56373867E-01 -0.23743182E+00
    12     2     3     1  0.70362656E+01 -0.45598534E+01  0.11596119E+02  0.71315477E-02 -0.84448491E-01
    13     1     1     1  0.58707890E+01 -0.79882102E+00  0.66696100E+01  0.63086773E-01 -0.25117080E+00
    13     1     2     1  0.58707890E+01 -0.14923588E+01  0.73631477E+01  0.82302368E-01 -0.28688389E+00
    13     1     3     1  0.58707890E+01 -0.57284568E+01  0.11599246E+02  0.49463132E-02  0.70330030E-01
    13     2     1     1  0.68997051E+01 -0.79882102E+00  0.76985261E+01  0.11104403E-01 -0.10537743E+00
    13     2     2     1  0.68997051E+01 -0.14923588E+01  0.83920639E+01  0.16632214E+00  0.40782612E+00
    13     2     3     1  0.68997051E+01 -0.57284568E+01  0.12628162E+02  0.69682484E-03  0.26397440E-01
    14     1     1     1  0.60497133E+01 -0.61338962E+00  0.66631029E+01  0.31093140E-01 -0.17633247E+00
    14     1     2     1  0.60497133E+01 -0.15450484E+01  0.75947617E+01  0.79200242E-01  0.28142538E+00
    14     1     3     1  0.60497133E+01 -0.53241489E+01  0.11373862E+02  0.19937729E-01 -0.14120102E+00
    14     2     1     1  0.68654808E+01 -0.61338962E+00  0.74788704E+01  0.38853557E-01  0.19711306E+00
    14     2     2     1  0.68654808E+01 -0.15450484E+01  0.84105292E+01  0.11907277E+00  0.34506922E+00
    14     2     3     1  0.68654808E+01 -0.53241489E+01  0.12189630E+02  0.23897458E-02  0.48885026E-01
    15     1     1     1  0.62444973E+01 -0.27135640E+00  0.65158537E+01  0.98248037E-02  0.99120148E-01
    15     1     2     1  0.62444973E+01 -0.13043933E+01  0.75488905E+01  0.88498916E-01 -0.29748767E+00
    15     1     3     1  0.62444973E+01 -0.38160239E+01  0.10060521E+02  0.83051982E-01 -0.28818741E+00
    15     2     1     1  0.68474061E+01 -0.27135640E+00  0.71187625E+01  0.93916869E-01 -0.30645859E+00
    15     2     2     1  0.68474061E+01 -0.13043933E+01  0.81517994E+01  0.21115259E-03 -0.14531090E-01
    15     2     3     1  0.68474061E+01 -0.38160239E+01  0.10663430E+02  0.92895362E-02  0.96382240E-01
    16     1     1     1  0.60280666E+01  0.17428475E+00  0.58537819E+01  0.36022784E+01 -0.18979669E+01
    16     1     2     1  0.60280666E+01 -0.64477049E+00  0.66728371E+01  0.21431910E+01  0.14639641E+01
    16     1     3     1  0.60280666E+01 -0.21196501E+01  0.81477167E+01  0.93328281E-01  0.30549678E+00
    16     2     1     1  0.66144132E+01  0.17428475E+00  0.64401284E+01  0.25729906E-03  0.16040544E-01
