# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      73 -0.50793417E+01 -0.50132180E+01  0.66123650E-01 -0.25160208E-01
      74 -0.51374287E+01 -0.50487210E+01  0.88707649E-01 -0.25160208E-01
      75 -0.51501888E+01 -0.50797490E+01  0.70439816E-01 -0.25160208E-01
      76 -0.51609904E+01 -0.51013594E+01  0.59630966E-01 -0.25160208E-01
      77 -0.52140644E+01 -0.51512114E+01  0.62852984E-01 -0.25160208E-01
      78 -0.52308013E+01 -0.51737638E+01  0.57037473E-01 -0.25160208E-01
      79 -0.52451100E+01 -0.51871239E+01  0.57986082E-01 -0.25160208E-01
      80 -0.52631408E+01 -0.52033995E+01  0.59741282E-01 -0.25160208E-01
      81 -0.52687978E+01 -0.52106434E+01  0.58154461E-01 -0.25160208E-01
      82 -0.52722970E+01 -0.52150922E+01  0.57204822E-01 -0.25160208E-01
      83 -0.53085002E+01 -0.52540220E+01  0.54478277E-01 -0.25160208E-01
      84 -0.53225656E+01 -0.52823063E+01  0.40259348E-01 -0.25160208E-01
      85 -0.53395280E+01 -0.52978946E+01  0.41633378E-01 -0.25160208E-01
      86 -0.53588889E+01 -0.53217061E+01  0.37182848E-01 -0.25160208E-01
      87 -0.53728597E+01 -0.53416651E+01  0.31194562E-01 -0.25160208E-01
      88 -0.53884567E+01 -0.53501607E+01  0.38296008E-01 -0.25160208E-01
      89 -0.53911538E+01 -0.53560850E+01  0.35068746E-01 -0.25160208E-01
      90 -0.53925331E+01 -0.53573158E+01  0.35217239E-01 -0.25160208E-01
      91 -0.53946160E+01 -0.53589044E+01  0.35711629E-01 -0.25160208E-01
      92 -0.53961489E+01 -0.53601342E+01  0.36014669E-01 -0.25160208E-01
      93 -0.53976271E+01 -0.53610023E+01  0.36624754E-01 -0.25160208E-01
      94 -0.54052218E+01 -0.53739505E+01  0.31271312E-01 -0.25160208E-01
      95 -0.54198248E+01 -0.54057836E+01  0.14041215E-01 -0.25160208E-01
      96 -0.54289957E+01 -0.54273719E+01  0.16238300E-02 -0.25160208E-01
      97 -0.54345891E+01 -0.54362327E+01 -0.16436325E-02 -0.25160208E-01
      98 -0.54519878E+01 -0.54526489E+01 -0.66110538E-03 -0.25160208E-01
      99 -0.54692960E+01 -0.54706780E+01 -0.13820038E-02 -0.25160208E-01
     100 -0.54750124E+01 -0.54805184E+01 -0.55059809E-02 -0.25160208E-01
     101 -0.54768962E+01 -0.54819926E+01 -0.50964458E-02 -0.25160208E-01
     102 -0.54856722E+01 -0.54963767E+01 -0.10704484E-01 -0.25160208E-01
