# neig  =      160
# vol   =  0.231463523E+04
# nspin =        1
#       eig (eV)   abs(dipole)^2      Re(dipole)    Im(dipole)
  0.89050232E+01  0.16744747E+00  0.38864335E+00 -0.12807739E+00
  0.89050232E+01  0.27521837E+00 -0.49825777E+00  0.16418759E+00
  0.91129078E+01  0.51235420E-14  0.60273381E-07 -0.38609087E-07
  0.97245777E+01  0.13895844E-14  0.35429923E-07 -0.11589001E-07
  0.97259561E+01  0.77793968E-15 -0.26579228E-07  0.84548409E-08
  0.97929771E+01  0.23039425E-13 -0.14416232E-06  0.47504210E-07
  0.11680333E+02  0.49943251E-13  0.21225159E-06 -0.69946509E-07
  0.11762681E+02  0.16194146E+00  0.38220154E+00 -0.12595019E+00
  0.11762681E+02  0.11203255E+00 -0.31791566E+00  0.10470041E+00
  0.11960370E+02  0.17673775E-12 -0.39924350E-06  0.13169049E-06
  0.12170576E+02  0.49823274E-01  0.21199638E+00 -0.69862786E-01
  0.12170576E+02  0.10872331E+00 -0.31317352E+00  0.10317780E+00
  0.12387715E+02  0.10692122E-14 -0.31056219E-07  0.10233448E-07
  0.13633865E+02  0.19702248E-13  0.13331678E-06 -0.43919044E-07
  0.13760933E+02  0.22811667E+00  0.45369622E+00 -0.14925282E+00
  0.13760933E+02  0.16430656E+00 -0.38495929E+00  0.12693663E+00
  0.14180845E+02  0.40894490E-15  0.19205631E-07 -0.63315583E-08
  0.14297215E+02  0.68532509E-15  0.24864933E-07 -0.81890302E-08
  0.14350724E+02  0.11018854E-01  0.99693587E-01 -0.32864000E-01
  0.14350724E+02  0.64735822E-01 -0.24165378E+00  0.79619540E-01
  0.14596101E+02  0.18064379E-12 -0.40367411E-06  0.13300755E-06
  0.14600971E+02  0.45315483E-12 -0.63928085E-06  0.21089055E-06
  0.14625898E+02  0.12792865E-12  0.35321821E-06 -0.56263165E-07
  0.14816022E+02  0.54857803E+00 -0.70344982E+00  0.23181109E+00
  0.14816023E+02  0.66777129E-01  0.24543280E+00 -0.80869448E-01
  0.14834780E+02  0.66426500E-01 -0.24482941E+00  0.80529855E-01
  0.14834780E+02  0.41121781E-01  0.19266011E+00 -0.63276097E-01
  0.15044959E+02  0.43871261E-05 -0.19893178E-02  0.65554629E-03
  0.15044959E+02  0.10460854E-04  0.30717705E-02 -0.10124624E-02
  0.15253122E+02  0.37939485E-13 -0.18499476E-06  0.60962465E-07
  0.15376179E+02  0.47472107E-12  0.65436884E-06 -0.21569074E-06
  0.15495137E+02  0.55092393E-02  0.70494367E-01 -0.23233241E-01
  0.15495137E+02  0.94574918E-02  0.92360903E-01 -0.30445941E-01
  0.15565352E+02  0.72126822E-12  0.80661794E-06 -0.26577381E-06
  0.15578350E+02  0.26785958E-15  0.15542699E-07 -0.51268017E-08
  0.15922873E+02  0.27583423E-03  0.15773854E-01 -0.51980524E-02
  0.15922873E+02  0.13507135E-02  0.34905904E-01 -0.11501796E-01
  0.16144969E+02  0.11765793E-13  0.10302033E-06 -0.33950038E-07
  0.16191021E+02  0.21378714E-01 -0.13886791E+00  0.45764796E-01
  0.16191021E+02  0.14757385E-01 -0.11537889E+00  0.38014410E-01
  0.16664270E+02  0.67878015E-14  0.78247018E-07 -0.25791580E-07
  0.16898436E+02  0.14080376E+00 -0.35638853E+00  0.11743499E+00
  0.16898436E+02  0.21907484E+00  0.44391968E+00 -0.14835819E+00
  0.16906708E+02  0.10778832E-10 -0.31181577E-05  0.10275818E-05
  0.17201263E+02  0.47525195E-12 -0.65476031E-06  0.21573337E-06
  0.17272787E+02  0.14194085E-01 -0.11315192E+00  0.37292469E-01
  0.17272787E+02  0.17937791E-01  0.12720248E+00 -0.41920411E-01
  0.17456821E+02  0.18763517E-14  0.41140460E-07 -0.13557811E-07
  0.17674683E+02  0.13397469E-14  0.34762968E-07 -0.11457878E-07
  0.17756128E+02  0.21554821E-13  0.13943956E-06 -0.45950302E-07
