G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
K                             101         1.3222139839      0.3333333330      0.3333333330      0.0000000000
M                             151         1.9833209757      0.0000000000      0.5000000000      0.0000000000
G                             238         3.1283918762      0.0000000000      0.0000000000      0.0000000000
