
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
    95    -4     0     5    -4.092    -2.363     3.197    32.549260280
    96    -4     0     6    -4.092    -2.363     3.836    37.046520325
    97    -4     1    -7    -4.092    -1.181    -4.476    38.174923754
    98    -4     1    -6    -4.092    -1.181    -3.836    32.859980064
    99    -4     1    -5    -4.092    -1.181    -3.197    28.362720019
   100    -4     1    -4    -4.092    -1.181    -2.558    24.683143618
   101    -4     1    -3    -4.092    -1.181    -1.918    21.821250862
   102    -4     1    -2    -4.092    -1.181    -1.279    19.777041750
   103    -4     1    -1    -4.092    -1.181    -0.639    18.550516284
   104    -4     1     0    -4.092    -1.181     0.000    18.141674461
   105    -4     1     1    -4.092    -1.181     0.639    18.550516284
   106    -4     1     2    -4.092    -1.181     1.279    19.777041750
   107    -4     1     3    -4.092    -1.181     1.918    21.821250862
   108    -4     1     4    -4.092    -1.181     2.558    24.683143618
   109    -4     1     5    -4.092    -1.181     3.197    28.362720019
   110    -4     1     6    -4.092    -1.181     3.836    32.859980064
   111    -4     1     7    -4.092    -1.181     4.476    38.174923754
   112    -4     2    -7    -4.092     0.000    -4.476    36.779410334
   113    -4     2    -6    -4.092     0.000    -3.836    31.464466644
   114    -4     2    -5    -4.092     0.000    -3.197    26.967206599
   115    -4     2    -4    -4.092     0.000    -2.558    23.287630198
   116    -4     2    -3    -4.092     0.000    -1.918    20.425737442
   117    -4     2    -2    -4.092     0.000    -1.279    18.381528331
   118    -4     2    -1    -4.092     0.000    -0.639    17.155002864
   119    -4     2     0    -4.092     0.000     0.000    16.746161042
   120    -4     2     1    -4.092     0.000     0.639    17.155002864
   121    -4     2     2    -4.092     0.000     1.279    18.381528331
   122    -4     2     3    -4.092     0.000     1.918    20.425737442
   123    -4     2     4    -4.092     0.000     2.558    23.287630198
   124    -4     2     5    -4.092     0.000     3.197    26.967206599
   125    -4     2     6    -4.092     0.000     3.836    31.464466644
   126    -4     2     7    -4.092     0.000     4.476    36.779410334
   127    -4     3    -7    -4.092     1.181    -4.476    38.174923756
   128    -4     3    -6    -4.092     1.181    -3.836    32.859980066
   129    -4     3    -5    -4.092     1.181    -3.197    28.362720021
   130    -4     3    -4    -4.092     1.181    -2.558    24.683143620
   131    -4     3    -3    -4.092     1.181    -1.918    21.821250864
   132    -4     3    -2    -4.092     1.181    -1.279    19.777041752
   133    -4     3    -1    -4.092     1.181    -0.639    18.550516285
