
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
   397    -2     2     5    -2.046     1.181     3.197    15.803099239
   398    -2     2     6    -2.046     1.181     3.836    20.300359284
   399    -2     2     7    -2.046     1.181     4.476    25.615302974
   400    -2     2     8    -2.046     1.181     5.115    31.747930309
   401    -2     2     9    -2.046     1.181     5.755    38.698241288
   402    -2     3    -8    -2.046     2.363    -5.115    35.934470571
   403    -2     3    -7    -2.046     2.363    -4.476    29.801843237
   404    -2     3    -6    -2.046     2.363    -3.836    24.486899547
   405    -2     3    -5    -2.046     2.363    -3.197    19.989639501
   406    -2     3    -4    -2.046     2.363    -2.558    16.310063100
   407    -2     3    -3    -2.046     2.363    -1.918    13.448170344
   408    -2     3    -2    -2.046     2.363    -1.279    11.403961233
   409    -2     3    -1    -2.046     2.363    -0.639    10.177435766
   410    -2     3     0    -2.046     2.363     0.000     9.768593944
   411    -2     3     1    -2.046     2.363     0.639    10.177435766
   412    -2     3     2    -2.046     2.363     1.279    11.403961233
   413    -2     3     3    -2.046     2.363     1.918    13.448170344
   414    -2     3     4    -2.046     2.363     2.558    16.310063100
   415    -2     3     5    -2.046     2.363     3.197    19.989639501
   416    -2     3     6    -2.046     2.363     3.836    24.486899547
   417    -2     3     7    -2.046     2.363     4.476    29.801843237
   418    -2     3     8    -2.046     2.363     5.115    35.934470571
   419    -2     4    -7    -2.046     3.544    -4.476    36.779410340
   420    -2     4    -6    -2.046     3.544    -3.836    31.464466650
   421    -2     4    -5    -2.046     3.544    -3.197    26.967206605
   422    -2     4    -4    -2.046     3.544    -2.558    23.287630204
   423    -2     4    -3    -2.046     3.544    -1.918    20.425737448
   424    -2     4    -2    -2.046     3.544    -1.279    18.381528336
   425    -2     4    -1    -2.046     3.544    -0.639    17.155002869
   426    -2     4     0    -2.046     3.544     0.000    16.746161047
   427    -2     4     1    -2.046     3.544     0.639    17.155002869
   428    -2     4     2    -2.046     3.544     1.279    18.381528336
   429    -2     4     3    -2.046     3.544     1.918    20.425737448
   430    -2     4     4    -2.046     3.544     2.558    23.287630204
   431    -2     4     5    -2.046     3.544     3.197    26.967206605
   432    -2     4     6    -2.046     3.544     3.836    31.464466650
   433    -2     4     7    -2.046     3.544     4.476    36.779410340
   434    -2     5    -5    -2.046     4.725    -3.197    36.735800549
   435    -2     5    -4    -2.046     4.725    -2.558    33.056224148
   436    -2     5    -3    -2.046     4.725    -1.918    30.194331392
   437    -2     5    -2    -2.046     4.725    -1.279    28.150122281
   438    -2     5    -1    -2.046     4.725    -0.639    26.923596814
   439    -2     5     0    -2.046     4.725     0.000    26.514754992
   440    -2     5     1    -2.046     4.725     0.639    26.923596814
   441    -2     5     2    -2.046     4.725     1.279    28.150122281
   442    -2     5     3    -2.046     4.725     1.918    30.194331392
   443    -2     5     4    -2.046     4.725     2.558    33.056224148
   444    -2     5     5    -2.046     4.725     3.197    36.735800549
   445    -2     6    -1    -2.046     5.907    -0.639    39.483217600
   446    -2     6     0    -2.046     5.907     0.000    39.074375777
   447    -2     6     1    -2.046     5.907     0.639    39.483217600
   448    -1    -4    -5    -1.023    -5.316    -3.197    39.526827388
   449    -1    -4    -4    -1.023    -5.316    -2.558    35.847250988
   450    -1    -4    -3    -1.023    -5.316    -1.918    32.985358232
   451    -1    -4    -2    -1.023    -5.316    -1.279    30.941149120
   452    -1    -4    -1    -1.023    -5.316    -0.639    29.714623653
   453    -1    -4     0    -1.023    -5.316     0.000    29.305781831
   454    -1    -4     1    -1.023    -5.316     0.639    29.714623653
   455    -1    -4     2    -1.023    -5.316     1.279    30.941149120
   456    -1    -4     3    -1.023    -5.316     1.918    32.985358232
   457    -1    -4     4    -1.023    -5.316     2.558    35.847250988
   458    -1    -4     5    -1.023    -5.316     3.197    39.526827388
   459    -1    -3    -7    -1.023    -4.135    -4.476    38.174923759
   460    -1    -3    -6    -1.023    -4.135    -3.836    32.859980069
   461    -1    -3    -5    -1.023    -4.135    -3.197    28.362720024
   462    -1    -3    -4    -1.023    -4.135    -2.558    24.683143623
   463    -1    -3    -3    -1.023    -4.135    -1.918    21.821250867
   464    -1    -3    -2    -1.023    -4.135    -1.279    19.777041756
   465    -1    -3    -1    -1.023    -4.135    -0.639    18.550516289
   466    -1    -3     0    -1.023    -4.135     0.000    18.141674466
   467    -1    -3     1    -1.023    -4.135     0.639    18.550516289
   468    -1    -3     2    -1.023    -4.135     1.279    19.777041756
   469    -1    -3     3    -1.023    -4.135     1.918    21.821250867
   470    -1    -3     4    -1.023    -4.135     2.558    24.683143623
   471    -1    -3     5    -1.023    -4.135     3.197    28.362720024
   472    -1    -3     6    -1.023    -4.135     3.836    32.859980069
   473    -1    -3     7    -1.023    -4.135     4.476    38.174923759
   474    -1    -2    -8    -1.023    -2.953    -5.115    35.934470571
   475    -1    -2    -7    -1.023    -2.953    -4.476    29.801843236
   476    -1    -2    -6    -1.023    -2.953    -3.836    24.486899546
   477    -1    -2    -5    -1.023    -2.953    -3.197    19.989639501
   478    -1    -2    -4    -1.023    -2.953    -2.558    16.310063100
   479    -1    -2    -3    -1.023    -2.953    -1.918    13.448170344
   480    -1    -2    -2    -1.023    -2.953    -1.279    11.403961232
   481    -1    -2    -1    -1.023    -2.953    -0.639    10.177435765
   482    -1    -2     0    -1.023    -2.953     0.000     9.768593943
   483    -1    -2     1    -1.023    -2.953     0.639    10.177435765
   484    -1    -2     2    -1.023    -2.953     1.279    11.403961232
   485    -1    -2     3    -1.023    -2.953     1.918    13.448170344
   486    -1    -2     4    -1.023    -2.953     2.558    16.310063100
   487    -1    -2     5    -1.023    -2.953     3.197    19.989639501
   488    -1    -2     6    -1.023    -2.953     3.836    24.486899546
   489    -1    -2     7    -1.023    -2.953     4.476    29.801843236
   490    -1    -2     8    -1.023    -2.953     5.115    35.934470571
   491    -1    -1    -9    -1.023    -1.772    -5.755    37.302727868
   492    -1    -1    -8    -1.023    -1.772    -5.115    30.352416889
   493    -1    -1    -7    -1.023    -1.772    -4.476    24.219789554
   494    -1    -1    -6    -1.023    -1.772    -3.836    18.904845864
   495    -1    -1    -5    -1.023    -1.772    -3.197    14.407585819
   496    -1    -1    -4    -1.023    -1.772    -2.558    10.728009418
   497    -1    -1    -3    -1.023    -1.772    -1.918     7.866116662
   498    -1    -1    -2    -1.023    -1.772    -1.279     5.821907550
   499    -1    -1    -1    -1.023    -1.772    -0.639     4.595382083
   500    -1    -1     0    -1.023    -1.772     0.000     4.186540261
   501    -1    -1     1    -1.023    -1.772     0.639     4.595382083
   502    -1    -1     2    -1.023    -1.772     1.279     5.821907550
   503    -1    -1     3    -1.023    -1.772     1.918     7.866116662
   504    -1    -1     4    -1.023    -1.772     2.558    10.728009418
   505    -1    -1     5    -1.023    -1.772     3.197    14.407585819
   506    -1    -1     6    -1.023    -1.772     3.836    18.904845864
   507    -1    -1     7    -1.023    -1.772     4.476    24.219789554
   508    -1    -1     8    -1.023    -1.772     5.115    30.352416889
   509    -1    -1     9    -1.023    -1.772     5.755    37.302727868
   510    -1     0    -9    -1.023    -0.591    -5.755    34.511701027
   511    -1     0    -8    -1.023    -0.591    -5.115    27.561390048
   512    -1     0    -7    -1.023    -0.591    -4.476    21.428762713
   513    -1     0    -6    -1.023    -0.591    -3.836    16.113819023
   514    -1     0    -5    -1.023    -0.591    -3.197    11.616558978
   515    -1     0    -4    -1.023    -0.591    -2.558     7.936982577
   516    -1     0    -3    -1.023    -0.591    -1.918     5.075089821
   517    -1     0    -2    -1.023    -0.591    -1.279     3.030880709
   518    -1     0    -1    -1.023    -0.591    -0.639     1.804355242
   519    -1     0     0    -1.023    -0.591     0.000     1.395513420
   520    -1     0     1    -1.023    -0.591     0.639     1.804355242
   521    -1     0     2    -1.023    -0.591     1.279     3.030880709
   522    -1     0     3    -1.023    -0.591     1.918     5.075089821
   523    -1     0     4    -1.023    -0.591     2.558     7.936982577
   524    -1     0     5    -1.023    -0.591     3.197    11.616558978
   525    -1     0     6    -1.023    -0.591     3.836    16.113819023
   526    -1     0     7    -1.023    -0.591     4.476    21.428762713
   527    -1     0     8    -1.023    -0.591     5.115    27.561390048
   528    -1     0     9    -1.023    -0.591     5.755    34.511701027
   529    -1     1    -9    -1.023     0.591    -5.755    34.511701027
   530    -1     1    -8    -1.023     0.591    -5.115    27.561390048
   531    -1     1    -7    -1.023     0.591    -4.476    21.428762713
   532    -1     1    -6    -1.023     0.591    -3.836    16.113819023
   533    -1     1    -5    -1.023     0.591    -3.197    11.616558978
   534    -1     1    -4    -1.023     0.591    -2.558     7.936982577
   535    -1     1    -3    -1.023     0.591    -1.918     5.075089821
   536    -1     1    -2    -1.023     0.591    -1.279     3.030880710
   537    -1     1    -1    -1.023     0.591    -0.639     1.804355243
   538    -1     1     0    -1.023     0.591     0.000     1.395513420
   539    -1     1     1    -1.023     0.591     0.639     1.804355243
   540    -1     1     2    -1.023     0.591     1.279     3.030880710
   541    -1     1     3    -1.023     0.591     1.918     5.075089821
   542    -1     1     4    -1.023     0.591     2.558     7.936982577
   543    -1     1     5    -1.023     0.591     3.197    11.616558978
   544    -1     1     6    -1.023     0.591     3.836    16.113819023
   545    -1     1     7    -1.023     0.591     4.476    21.428762713
   546    -1     1     8    -1.023     0.591     5.115    27.561390048
   547    -1     1     9    -1.023     0.591     5.755    34.511701027
   548    -1     2    -9    -1.023     1.772    -5.755    37.302727868
   549    -1     2    -8    -1.023     1.772    -5.115    30.352416889
   550    -1     2    -7    -1.023     1.772    -4.476    24.219789555
   551    -1     2    -6    -1.023     1.772    -3.836    18.904845865
   552    -1     2    -5    -1.023     1.772    -3.197    14.407585819
   553    -1     2    -4    -1.023     1.772    -2.558    10.728009419
   554    -1     2    -3    -1.023     1.772    -1.918     7.866116662
   555    -1     2    -2    -1.023     1.772    -1.279     5.821907551
   556    -1     2    -1    -1.023     1.772    -0.639     4.595382084
   557    -1     2     0    -1.023     1.772     0.000     4.186540262
   558    -1     2     1    -1.023     1.772     0.639     4.595382084
   559    -1     2     2    -1.023     1.772     1.279     5.821907551
   560    -1     2     3    -1.023     1.772     1.918     7.866116662
   561    -1     2     4    -1.023     1.772     2.558    10.728009419
   562    -1     2     5    -1.023     1.772     3.197    14.407585819
   563    -1     2     6    -1.023     1.772     3.836    18.904845865
   564    -1     2     7    -1.023     1.772     4.476    24.219789555
   565    -1     2     8    -1.023     1.772     5.115    30.352416889
   566    -1     2     9    -1.023     1.772     5.755    37.302727868
   567    -1     3    -8    -1.023     2.953    -5.115    35.934470572
   568    -1     3    -7    -1.023     2.953    -4.476    29.801843237
   569    -1     3    -6    -1.023     2.953    -3.836    24.486899547
   570    -1     3    -5    -1.023     2.953    -3.197    19.989639502
   571    -1     3    -4    -1.023     2.953    -2.558    16.310063101
   572    -1     3    -3    -1.023     2.953    -1.918    13.448170345
   573    -1     3    -2    -1.023     2.953    -1.279    11.403961234
   574    -1     3    -1    -1.023     2.953    -0.639    10.177435767
   575    -1     3     0    -1.023     2.953     0.000     9.768593944
   576    -1     3     1    -1.023     2.953     0.639    10.177435767
   577    -1     3     2    -1.023     2.953     1.279    11.403961234
   578    -1     3     3    -1.023     2.953     1.918    13.448170345
   579    -1     3     4    -1.023     2.953     2.558    16.310063101
   580    -1     3     5    -1.023     2.953     3.197    19.989639502
   581    -1     3     6    -1.023     2.953     3.836    24.486899547
   582    -1     3     7    -1.023     2.953     4.476    29.801843237
   583    -1     3     8    -1.023     2.953     5.115    35.934470572
   584    -1     4    -7    -1.023     4.135    -4.476    38.174923761
   585    -1     4    -6    -1.023     4.135    -3.836    32.859980071
   586    -1     4    -5    -1.023     4.135    -3.197    28.362720026
   587    -1     4    -4    -1.023     4.135    -2.558    24.683143625
   588    -1     4    -3    -1.023     4.135    -1.918    21.821250869
   589    -1     4    -2    -1.023     4.135    -1.279    19.777041757
   590    -1     4    -1    -1.023     4.135    -0.639    18.550516290
   591    -1     4     0    -1.023     4.135     0.000    18.141674468
   592    -1     4     1    -1.023     4.135     0.639    18.550516290
   593    -1     4     2    -1.023     4.135     1.279    19.777041757
   594    -1     4     3    -1.023     4.135     1.918    21.821250869
   595    -1     4     4    -1.023     4.135     2.558    24.683143625
   596    -1     4     5    -1.023     4.135     3.197    28.362720026
   597    -1     4     6    -1.023     4.135     3.836    32.859980071
   598    -1     4     7    -1.023     4.135     4.476    38.174923761
   599    -1     5    -5    -1.023     5.316    -3.197    39.526827391
   600    -1     5    -4    -1.023     5.316    -2.558    35.847250990
   601    -1     5    -3    -1.023     5.316    -1.918    32.985358234
   602    -1     5    -2    -1.023     5.316    -1.279    30.941149122
   603    -1     5    -1    -1.023     5.316    -0.639    29.714623655
   604    -1     5     0    -1.023     5.316     0.000    29.305781833
   605    -1     5     1    -1.023     5.316     0.639    29.714623655
   606    -1     5     2    -1.023     5.316     1.279    30.941149122
   607    -1     5     3    -1.023     5.316     1.918    32.985358234
   608    -1     5     4    -1.023     5.316     2.558    35.847250990
   609    -1     5     5    -1.023     5.316     3.197    39.526827391
   610     0    -5    -3     0.000    -5.907    -1.918    38.567411915
   611     0    -5    -2     0.000    -5.907    -1.279    36.523202804
   612     0    -5    -1     0.000    -5.907    -0.639    35.296677337
   613     0    -5     0     0.000    -5.907     0.000    34.887835515
   614     0    -5     1     0.000    -5.907     0.639    35.296677337
   615     0    -5     2     0.000    -5.907     1.279    36.523202804
   616     0    -5     3     0.000    -5.907     1.918    38.567411915
   617     0    -4    -6     0.000    -4.725    -3.836    37.046520332
   618     0    -4    -5     0.000    -4.725    -3.197    32.549260287
   619     0    -4    -4     0.000    -4.725    -2.558    28.869683886
   620     0    -4    -3     0.000    -4.725    -1.918    26.007791130
   621     0    -4    -2     0.000    -4.725    -1.279    23.963582019
   622     0    -4    -1     0.000    -4.725    -0.639    22.737056552
   623     0    -4     0     0.000    -4.725     0.000    22.328214729
   624     0    -4     1     0.000    -4.725     0.639    22.737056552
   625     0    -4     2     0.000    -4.725     1.279    23.963582019
   626     0    -4     3     0.000    -4.725     1.918    26.007791130
   627     0    -4     4     0.000    -4.725     2.558    28.869683886
   628     0    -4     5     0.000    -4.725     3.197    32.549260287
   629     0    -4     6     0.000    -4.725     3.836    37.046520332
   630     0    -3    -8     0.000    -3.544    -5.115    38.725497413
   631     0    -3    -7     0.000    -3.544    -4.476    32.592870078
   632     0    -3    -6     0.000    -3.544    -3.836    27.277926388
   633     0    -3    -5     0.000    -3.544    -3.197    22.780666343
   634     0    -3    -4     0.000    -3.544    -2.558    19.101089942
   635     0    -3    -3     0.000    -3.544    -1.918    16.239197186
   636     0    -3    -2     0.000    -3.544    -1.279    14.194988074
   637     0    -3    -1     0.000    -3.544    -0.639    12.968462608
   638     0    -3     0     0.000    -3.544     0.000    12.559620785
   639     0    -3     1     0.000    -3.544     0.639    12.968462608
   640     0    -3     2     0.000    -3.544     1.279    14.194988074
   641     0    -3     3     0.000    -3.544     1.918    16.239197186
   642     0    -3     4     0.000    -3.544     2.558    19.101089942
   643     0    -3     5     0.000    -3.544     3.197    22.780666343
   644     0    -3     6     0.000    -3.544     3.836    27.277926388
   645     0    -3     7     0.000    -3.544     4.476    32.592870078
   646     0    -3     8     0.000    -3.544     5.115    38.725497413
   647     0    -2    -9     0.000    -2.363    -5.755    38.698241289
   648     0    -2    -8     0.000    -2.363    -5.115    31.747930310
   649     0    -2    -7     0.000    -2.363    -4.476    25.615302975
   650     0    -2    -6     0.000    -2.363    -3.836    20.300359285
   651     0    -2    -5     0.000    -2.363    -3.197    15.803099240
   652     0    -2    -4     0.000    -2.363    -2.558    12.123522839
   653     0    -2    -3     0.000    -2.363    -1.918     9.261630083
   654     0    -2    -2     0.000    -2.363    -1.279     7.217420972
   655     0    -2    -1     0.000    -2.363    -0.639     5.990895505
   656     0    -2     0     0.000    -2.363     0.000     5.582053682
   657     0    -2     1     0.000    -2.363     0.639     5.990895505
   658     0    -2     2     0.000    -2.363     1.279     7.217420972
   659     0    -2     3     0.000    -2.363     1.918     9.261630083
   660     0    -2     4     0.000    -2.363     2.558    12.123522839
   661     0    -2     5     0.000    -2.363     3.197    15.803099240
   662     0    -2     6     0.000    -2.363     3.836    20.300359285
   663     0    -2     7     0.000    -2.363     4.476    25.615302975
   664     0    -2     8     0.000    -2.363     5.115    31.747930310
   665     0    -2     9     0.000    -2.363     5.755    38.698241289
   666     0    -1    -9     0.000    -1.181    -5.755    34.511701027
   667     0    -1    -8     0.000    -1.181    -5.115    27.561390048
   668     0    -1    -7     0.000    -1.181    -4.476    21.428762713
   669     0    -1    -6     0.000    -1.181    -3.836    16.113819024
   670     0    -1    -5     0.000    -1.181    -3.197    11.616558978
   671     0    -1    -4     0.000    -1.181    -2.558     7.936982577
   672     0    -1    -3     0.000    -1.181    -1.918     5.075089821
   673     0    -1    -2     0.000    -1.181    -1.279     3.030880710
   674     0    -1    -1     0.000    -1.181    -0.639     1.804355243
   675     0    -1     0     0.000    -1.181     0.000     1.395513421
   676     0    -1     1     0.000    -1.181     0.639     1.804355243
   677     0    -1     2     0.000    -1.181     1.279     3.030880710
   678     0    -1     3     0.000    -1.181     1.918     5.075089821
   679     0    -1     4     0.000    -1.181     2.558     7.936982577
   680     0    -1     5     0.000    -1.181     3.197    11.616558978
   681     0    -1     6     0.000    -1.181     3.836    16.113819024
   682     0    -1     7     0.000    -1.181     4.476    21.428762713
   683     0    -1     8     0.000    -1.181     5.115    27.561390048
   684     0    -1     9     0.000    -1.181     5.755    34.511701027
   685     0     0    -9     0.000     0.000    -5.755    33.116187607
   686     0     0    -8     0.000     0.000    -5.115    26.165876627
   687     0     0    -7     0.000     0.000    -4.476    20.033249293
   688     0     0    -6     0.000     0.000    -3.836    14.718305603
   689     0     0    -5     0.000     0.000    -3.197    10.221045558
   690     0     0    -4     0.000     0.000    -2.558     6.541469157
   691     0     0    -3     0.000     0.000    -1.918     3.679576401
   692     0     0    -2     0.000     0.000    -1.279     1.635367289
   693     0     0    -1     0.000     0.000    -0.639     0.408841822
   694     0     0     0     0.000     0.000     0.000     0.000000000
   695     0     0     1     0.000     0.000     0.639     0.408841822
   696     0     0     2     0.000     0.000     1.279     1.635367289
   697     0     0     3     0.000     0.000     1.918     3.679576401
   698     0     0     4     0.000     0.000     2.558     6.541469157
   699     0     0     5     0.000     0.000     3.197    10.221045558
   700     0     0     6     0.000     0.000     3.836    14.718305603
   701     0     0     7     0.000     0.000     4.476    20.033249293
   702     0     0     8     0.000     0.000     5.115    26.165876627
   703     0     0     9     0.000     0.000     5.755    33.116187607
   704     0     1    -9     0.000     1.181    -5.755    34.511701027
   705     0     1    -8     0.000     1.181    -5.115    27.561390048
   706     0     1    -7     0.000     1.181    -4.476    21.428762713
   707     0     1    -6     0.000     1.181    -3.836    16.113819024
   708     0     1    -5     0.000     1.181    -3.197    11.616558978
   709     0     1    -4     0.000     1.181    -2.558     7.936982577
   710     0     1    -3     0.000     1.181    -1.918     5.075089821
   711     0     1    -2     0.000     1.181    -1.279     3.030880710
   712     0     1    -1     0.000     1.181    -0.639     1.804355243
   713     0     1     0     0.000     1.181     0.000     1.395513421
   714     0     1     1     0.000     1.181     0.639     1.804355243
   715     0     1     2     0.000     1.181     1.279     3.030880710
   716     0     1     3     0.000     1.181     1.918     5.075089821
   717     0     1     4     0.000     1.181     2.558     7.936982577
   718     0     1     5     0.000     1.181     3.197    11.616558978
   719     0     1     6     0.000     1.181     3.836    16.113819024
   720     0     1     7     0.000     1.181     4.476    21.428762713
   721     0     1     8     0.000     1.181     5.115    27.561390048
   722     0     1     9     0.000     1.181     5.755    34.511701027
   723     0     2    -9     0.000     2.363    -5.755    38.698241289
   724     0     2    -8     0.000     2.363    -5.115    31.747930310
   725     0     2    -7     0.000     2.363    -4.476    25.615302975
   726     0     2    -6     0.000     2.363    -3.836    20.300359285
   727     0     2    -5     0.000     2.363    -3.197    15.803099240
   728     0     2    -4     0.000     2.363    -2.558    12.123522839
   729     0     2    -3     0.000     2.363    -1.918     9.261630083
   730     0     2    -2     0.000     2.363    -1.279     7.217420972
   731     0     2    -1     0.000     2.363    -0.639     5.990895505
   732     0     2     0     0.000     2.363     0.000     5.582053682
   733     0     2     1     0.000     2.363     0.639     5.990895505
   734     0     2     2     0.000     2.363     1.279     7.217420972
   735     0     2     3     0.000     2.363     1.918     9.261630083
   736     0     2     4     0.000     2.363     2.558    12.123522839
   737     0     2     5     0.000     2.363     3.197    15.803099240
   738     0     2     6     0.000     2.363     3.836    20.300359285
   739     0     2     7     0.000     2.363     4.476    25.615302975
   740     0     2     8     0.000     2.363     5.115    31.747930310
   741     0     2     9     0.000     2.363     5.755    38.698241289
   742     0     3    -8     0.000     3.544    -5.115    38.725497413
   743     0     3    -7     0.000     3.544    -4.476    32.592870078
   744     0     3    -6     0.000     3.544    -3.836    27.277926388
   745     0     3    -5     0.000     3.544    -3.197    22.780666343
   746     0     3    -4     0.000     3.544    -2.558    19.101089942
   747     0     3    -3     0.000     3.544    -1.918    16.239197186
   748     0     3    -2     0.000     3.544    -1.279    14.194988074
   749     0     3    -1     0.000     3.544    -0.639    12.968462608
   750     0     3     0     0.000     3.544     0.000    12.559620785
   751     0     3     1     0.000     3.544     0.639    12.968462608
   752     0     3     2     0.000     3.544     1.279    14.194988074
   753     0     3     3     0.000     3.544     1.918    16.239197186
   754     0     3     4     0.000     3.544     2.558    19.101089942
   755     0     3     5     0.000     3.544     3.197    22.780666343
   756     0     3     6     0.000     3.544     3.836    27.277926388
   757     0     3     7     0.000     3.544     4.476    32.592870078
   758     0     3     8     0.000     3.544     5.115    38.725497413
   759     0     4    -6     0.000     4.725    -3.836    37.046520332
   760     0     4    -5     0.000     4.725    -3.197    32.549260287
   761     0     4    -4     0.000     4.725    -2.558    28.869683886
   762     0     4    -3     0.000     4.725    -1.918    26.007791130
   763     0     4    -2     0.000     4.725    -1.279    23.963582019
   764     0     4    -1     0.000     4.725    -0.639    22.737056552
   765     0     4     0     0.000     4.725     0.000    22.328214729
   766     0     4     1     0.000     4.725     0.639    22.737056552
   767     0     4     2     0.000     4.725     1.279    23.963582019
   768     0     4     3     0.000     4.725     1.918    26.007791130
   769     0     4     4     0.000     4.725     2.558    28.869683886
   770     0     4     5     0.000     4.725     3.197    32.549260287
   771     0     4     6     0.000     4.725     3.836    37.046520332
   772     0     5    -3     0.000     5.907    -1.918    38.567411915
   773     0     5    -2     0.000     5.907    -1.279    36.523202804
   774     0     5    -1     0.000     5.907    -0.639    35.296677337
   775     0     5     0     0.000     5.907     0.000    34.887835515
   776     0     5     1     0.000     5.907     0.639    35.296677337
   777     0     5     2     0.000     5.907     1.279    36.523202804
   778     0     5     3     0.000     5.907     1.918    38.567411915
   779     1    -5    -5     1.023    -5.316    -3.197    39.526827391
   780     1    -5    -4     1.023    -5.316    -2.558    35.847250990
   781     1    -5    -3     1.023    -5.316    -1.918    32.985358234
   782     1    -5    -2     1.023    -5.316    -1.279    30.941149122
   783     1    -5    -1     1.023    -5.316    -0.639    29.714623655
   784     1    -5     0     1.023    -5.316     0.000    29.305781833
   785     1    -5     1     1.023    -5.316     0.639    29.714623655
   786     1    -5     2     1.023    -5.316     1.279    30.941149122
   787     1    -5     3     1.023    -5.316     1.918    32.985358234
   788     1    -5     4     1.023    -5.316     2.558    35.847250990
   789     1    -5     5     1.023    -5.316     3.197    39.526827391
   790     1    -4    -7     1.023    -4.135    -4.476    38.174923761
   791     1    -4    -6     1.023    -4.135    -3.836    32.859980071
   792     1    -4    -5     1.023    -4.135    -3.197    28.362720026
   793     1    -4    -4     1.023    -4.135    -2.558    24.683143625
   794     1    -4    -3     1.023    -4.135    -1.918    21.821250869
   795     1    -4    -2     1.023    -4.135    -1.279    19.777041757
   796     1    -4    -1     1.023    -4.135    -0.639    18.550516290
   797     1    -4     0     1.023    -4.135     0.000    18.141674468
   798     1    -4     1     1.023    -4.135     0.639    18.550516290
   799     1    -4     2     1.023    -4.135     1.279    19.777041757
   800     1    -4     3     1.023    -4.135     1.918    21.821250869
   801     1    -4     4     1.023    -4.135     2.558    24.683143625
   802     1    -4     5     1.023    -4.135     3.197    28.362720026
   803     1    -4     6     1.023    -4.135     3.836    32.859980071
   804     1    -4     7     1.023    -4.135     4.476    38.174923761
   805     1    -3    -8     1.023    -2.953    -5.115    35.934470572
   806     1    -3    -7     1.023    -2.953    -4.476    29.801843237
   807     1    -3    -6     1.023    -2.953    -3.836    24.486899547
   808     1    -3    -5     1.023    -2.953    -3.197    19.989639502
   809     1    -3    -4     1.023    -2.953    -2.558    16.310063101
   810     1    -3    -3     1.023    -2.953    -1.918    13.448170345
   811     1    -3    -2     1.023    -2.953    -1.279    11.403961234
   812     1    -3    -1     1.023    -2.953    -0.639    10.177435767
   813     1    -3     0     1.023    -2.953     0.000     9.768593944
   814     1    -3     1     1.023    -2.953     0.639    10.177435767
   815     1    -3     2     1.023    -2.953     1.279    11.403961234
   816     1    -3     3     1.023    -2.953     1.918    13.448170345
   817     1    -3     4     1.023    -2.953     2.558    16.310063101
   818     1    -3     5     1.023    -2.953     3.197    19.989639502
   819     1    -3     6     1.023    -2.953     3.836    24.486899547
   820     1    -3     7     1.023    -2.953     4.476    29.801843237
   821     1    -3     8     1.023    -2.953     5.115    35.934470572
   822     1    -2    -9     1.023    -1.772    -5.755    37.302727868
   823     1    -2    -8     1.023    -1.772    -5.115    30.352416889
   824     1    -2    -7     1.023    -1.772    -4.476    24.219789555
   825     1    -2    -6     1.023    -1.772    -3.836    18.904845865
   826     1    -2    -5     1.023    -1.772    -3.197    14.407585819
   827     1    -2    -4     1.023    -1.772    -2.558    10.728009419
   828     1    -2    -3     1.023    -1.772    -1.918     7.866116662
   829     1    -2    -2     1.023    -1.772    -1.279     5.821907551
   830     1    -2    -1     1.023    -1.772    -0.639     4.595382084
   831     1    -2     0     1.023    -1.772     0.000     4.186540262
   832     1    -2     1     1.023    -1.772     0.639     4.595382084
   833     1    -2     2     1.023    -1.772     1.279     5.821907551
   834     1    -2     3     1.023    -1.772     1.918     7.866116662
   835     1    -2     4     1.023    -1.772     2.558    10.728009419
   836     1    -2     5     1.023    -1.772     3.197    14.407585819
   837     1    -2     6     1.023    -1.772     3.836    18.904845865
   838     1    -2     7     1.023    -1.772     4.476    24.219789555
   839     1    -2     8     1.023    -1.772     5.115    30.352416889
   840     1    -2     9     1.023    -1.772     5.755    37.302727868
   841     1    -1    -9     1.023    -0.591    -5.755    34.511701027
   842     1    -1    -8     1.023    -0.591    -5.115    27.561390048
   843     1    -1    -7     1.023    -0.591    -4.476    21.428762713
   844     1    -1    -6     1.023    -0.591    -3.836    16.113819023
   845     1    -1    -5     1.023    -0.591    -3.197    11.616558978
   846     1    -1    -4     1.023    -0.591    -2.558     7.936982577
   847     1    -1    -3     1.023    -0.591    -1.918     5.075089821
   848     1    -1    -2     1.023    -0.591    -1.279     3.030880710
   849     1    -1    -1     1.023    -0.591    -0.639     1.804355243
   850     1    -1     0     1.023    -0.591     0.000     1.395513420
   851     1    -1     1     1.023    -0.591     0.639     1.804355243
   852     1    -1     2     1.023    -0.591     1.279     3.030880710
   853     1    -1     3     1.023    -0.591     1.918     5.075089821
   854     1    -1     4     1.023    -0.591     2.558     7.936982577
   855     1    -1     5     1.023    -0.591     3.197    11.616558978
